distance,fci_energy
0.3,-6.057329691858792
0.3222222222222222,-6.270124030131829
0.34444444444444444,-6.4469837020134975
0.36666666666666664,-6.596171854323899
0.3888888888888889,-6.7239834279486335
0.4111111111111111,-6.835245152953263
0.43333333333333335,-6.933632903919519
0.45555555555555555,-7.021870133927012
0.47777777777777775,-7.101881448558396
0.5,-7.17496831766452
0.5222222222222223,-7.242011142189467
0.5444444444444445,-7.303645055616516
0.5666666666666667,-7.360372652474913
0.5888888888888889,-7.412620850232869
0.6111111111111112,-7.460765933891769
0.6333333333333333,-7.505144782327078
0.6555555555555556,-7.546061023156694
0.6777777777777778,-7.583789420489859
0.7,-7.618579517622944
0.7222222222222222,-7.650658786343815
0.7444444444444445,-7.680235331010394
0.7666666666666666,-7.70750016892939
0.788888888888889,-7.732629123283887
0.8111111111111111,-7.755784380445849
0.8333333333333333,-7.7771157708736105
0.8555555555555556,-7.7967618322216055
0.8777777777777778,-7.8148507072271505
0.8999999999999999,-7.83150092000462
0.9222222222222223,-7.846822064441316
0.9444444444444444,-7.86091542922558
0.9666666666666668,-7.8738745759327955
0.9888888888888889,-7.885785880469129
1.011111111111111,-7.896729043676045
1.0333333333333334,-7.9067775739894905
1.0555555555555556,-7.915999243382313
1.0777777777777777,-7.9244565170415155
1.1,-7.9322069570372005
1.1222222222222222,-7.939303600354169
1.1444444444444444,-7.945795311900073
1.1666666666666667,-7.9517271133528595
1.1888888888888889,-7.957140488901645
1.211111111111111,-7.962073669050795
1.2333333333333334,-7.966561893701316
1.2555555555555555,-7.970637655713709
1.277777777777778,-7.974330926110304
1.3,-7.977669362017233
1.3222222222222224,-7.980678498384281
1.3444444444444446,-7.983381924464803
1.3666666666666667,-7.985801445994014
1.388888888888889,-7.987957233967057
1.4111111111111112,-7.989867960892075
1.4333333333333333,-7.991550925369889
1.4555555555555557,-7.99302216583185
1.4777777777777779,-7.994296564245925
1.5,-7.995387940576623
1.5222222222222224,-7.996309138756556
1.5444444444444445,-7.997072104895731
1.5666666666666667,-7.997687958416696
1.588888888888889,-7.998167056765016
1.6111111111111112,-7.998519054301273
1.6333333333333335,-7.998752955936689
1.6555555555555557,-7.99887716602948
1.6777777777777778,-7.998899533009821
1.7000000000000002,-7.998827390173512
1.7222222222222223,-7.998667593015908
1.7444444444444445,-7.998426553464398
1.7666666666666668,-7.998110271316478
1.788888888888889,-7.9977243631604855
1.8111111111111111,-7.99727408902544
1.8333333333333335,-7.996764376978173
1.8555555555555556,-7.996199845861473
1.877777777777778,-7.99558482634432
1.9000000000000001,-7.994923380435887
1.9222222222222223,-7.994219319597845
1.9444444444444446,-7.993476221574162
1.9666666666666668,-7.99269744604394
1.988888888888889,-7.991886149192095
2.011111111111111,-7.991045297281503
2.033333333333333,-7.9901776793022465
2.0555555555555554,-7.98928591876522
2.077777777777778,-7.988372484700925
2.1,-7.987439701918236
2.1222222222222222,-7.98648976057288
2.1444444444444444,-7.9855247250904835
2.1666666666666665,-7.984546542485646
2.188888888888889,-7.9835570501141095
2.2111111111111112,-7.982557982892957
2.2333333333333334,-7.981550980020206
2.2555555555555555,-7.980537591223185
2.2777777777777777,-7.979519282562971
2.3,-7.978497441819755
2.322222222222222,-7.977473383482868
2.3444444444444446,-7.9764483533676085
2.3666666666666667,-7.975423532878828
2.388888888888889,-7.974400042941371
2.411111111111111,-7.9733789476151795
2.433333333333333,-7.97236125741235
2.4555555555555553,-7.971347932334044
2.477777777777778,-7.970339884634456
2.5,-7.969337981346498
