pauli,coef_local
IIII,0.1739278038389946
IIIX,0.007564719082081207
IIIZ,-0.10352031955475074
IIXI,0.007564719082081207
IIXX,0.0058659380639243894
IIXZ,0.01291070026171262
IIZI,0.10352031955475063
IIZX,-0.01291070026171262
IIZZ,-0.20924383225055548
IXII,-0.01033745710195298
IXXX,-0.006069910509310752
IXXZ,-0.004797919551977391
IXYY,-0.006069910509310752
IXZX,0.004797919551977391
IXZZ,0.01033745710195298
IYIY,-0.004797919551977391
IYYI,0.004797919551977391
IZII,0.16251177067396919
IZIX,0.007564719082081207
IZIZ,0.27488261912197165
IZXI,0.007564719082081207
IZXX,0.0058659380639243894
IZXZ,0.01291070026171262
IZZI,-0.27488261912197165
IZZX,-0.01291070026171262
IZZZ,0.11412682976513655
XIII,-0.008434569756845508
XXII,0.010337457101952987
XXXX,0.006069910509310755
XXXZ,0.004797919551977395
XXYY,0.006069910509310755
XXZX,-0.004797919551977395
XXZZ,-0.010337457101952987
XYIY,0.004797919551977395
XYYI,-0.004797919551977395
XZII,0.008434569756845508
YXXY,0.006069910509310755
YXYX,-0.006069910509310755
YXYZ,-0.004797919551977395
YXZY,-0.004797919551977395
YYIX,-0.004797919551977395
YYIZ,-0.010337457101952987
YYXI,-0.004797919551977395
YYZI,0.010337457101952987
ZIII,-0.5869170581293391
ZIIX,0.005345888302370169
ZIIZ,0.0019381084432043144
ZIXI,0.005345888302370169
ZIZI,-0.0019381084432043214
ZXIX,-0.004797919551977391
ZXIZ,-0.01033745710195298
ZXXI,-0.004797919551977391
ZXZI,0.01033745710195298
ZYXY,-0.006069910509310752
ZYYX,0.006069910509310752
ZYYZ,0.004797919551977391
ZYZY,0.004797919551977391
ZZII,-0.5869170581293384
ZZIX,0.005345888302370169
ZZIZ,0.0019381084432041895
ZZXI,0.005345888302370169
ZZZI,-0.0019381084432041965
