molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
Li2O_linear,statevector,,,,sto-3g,1.2,jw,real_amplitudes,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-88.15853569667618,-88.37931408016759,CASCI,-88.37931408016759,0.22077838349140677,138.54042264630917,False,-20.765119806986952,100,True,,8,61,-67.39341588968922,0.41470728899003007,1.306826051993994,1.7245532529923366
Li2O_linear,statevector,,,,sto-3g,1.2,jw,real_amplitudes,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-88.20830993842267,-88.37931408016759,CASCI,-88.37931408016759,0.17100414174491618,107.30663798221062,False,-20.81489404873342,444,True,,8,61,-67.39341588968925,0.46754053799668327,4.71564576298988,5.18541813500633
Li2O_linear,statevector,,,,sto-3g,1.2,jw,real_amplitudes,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-87.60707532873163,-88.37931408016759,CASCI,-88.37931408016759,0.7722387514359639,484.58676667483024,False,-20.213659439042377,200,True,,8,61,-67.39341588968925,0.4370030370046152,2.270579218005878,2.710022963001393
Li2O_linear,statevector,,,,sto-3g,1.2,jw,real_amplitudes,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-88.13805961439289,-88.37931408016759,CASCI,-88.37931408016759,0.241254465774702,151.3893485638175,False,-20.744643724703757,100,True,,8,61,-67.39341588968914,0.5537603789998684,1.8432402409962378,2.400919628998963
Li2O_linear,statevector,,,,sto-3g,1.2,jw,real_amplitudes,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-88.0373941290138,-88.37931408016759,CASCI,-88.37931408016759,0.34191995115378404,214.55784662855987,False,-20.643978239324564,475,True,,8,61,-67.39341588968924,0.4720846120035276,8.486260915000457,8.960985187994083
Li2O_linear,statevector,,,,sto-3g,1.2,jw,real_amplitudes,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-88.31951204185201,-88.37931408016759,CASCI,-88.37931408016759,0.059802038315581285,37.5263172613721,False,-20.926096152162796,200,True,,8,61,-67.39341588968921,0.531399899002281,2.5883658210077556,3.1242202389985323
Li2O_linear,statevector,,,,sto-3g,1.2,jw,efficient_su2,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-87.1398748959857,-88.37931408016759,CASCI,-88.37931408016759,1.2394391841818901,777.7592430267937,False,-19.746459006296465,100,True,,8,61,-67.39341588968924,0.4498858130100416,1.5106298990140203,1.9634228069917299
Li2O_linear,statevector,,,,sto-3g,1.2,jw,efficient_su2,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-88.37920199086136,-88.37931408016759,CASCI,-88.37931408016759,0.00011208930622785829,0.07033704846173713,True,-20.985786101172103,1392,True,,8,61,-67.39341588968925,0.4829021609912161,19.429165157998796,19.91515700999298
Li2O_linear,statevector,,,,sto-3g,1.2,jw,efficient_su2,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-87.93140809907406,-88.37931408016759,CASCI,-88.37931408016759,0.44790598109352686,281.06503429001793,False,-20.537992209384843,200,True,,8,61,-67.39341588968922,0.8022434150043409,2.833131723004044,3.6388975129957544
Li2O_linear,statevector,,,,sto-3g,1.2,jw,efficient_su2,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-86.35241811277433,-88.37931408016759,CASCI,-88.37931408016759,2.0268959673932585,1271.8954616029762,False,-18.9590022230851,100,True,,8,61,-67.39341588968924,0.44378519100428093,1.7321080199908465,2.1810343469987856
