iteration,energy
1,-5.784150062483722
2,-5.327343753900749
3,-5.9660149541364795
4,-5.868725657941505
5,-5.862204002163032
6,-5.946001022238028
7,-6.463746851569779
8,-6.473299448199915
9,-6.4746986827645765
10,-6.476256628131827
11,-6.4413917005825425
12,-6.455178903969021
13,-6.582710945418639
14,-6.5947455138606115
15,-6.565875426349842
16,-6.526753614092157
17,-6.629871553872554
18,-6.663349186579578
19,-5.986387627942409
20,-6.659687472733562
21,-6.6632946983518675
22,-6.737032459190272
23,-6.705542379433444
24,-6.700547155993091
25,-6.565993248668274
26,-6.193015209781797
27,-6.564905599578023
28,-6.553691848693545
29,-6.770961038825428
30,-6.622361855337215
31,-6.7486470156008185
32,-6.10417690366635
33,-6.739406423848897
34,-6.750105105871952
35,-6.70278050086267
36,-6.7772475695403775
37,-6.801609393456518
38,-6.796989449073025
39,-6.797576563802769
40,-6.79759142646682
41,-6.794637873640137
42,-6.799669061686223
43,-6.789103279420364
44,-6.778436455276201
45,-6.760643172261268
46,-6.783258401593606
47,-6.763689586738284
48,-6.848466598623449
49,-6.590324114772321
50,-6.690611360662219
51,-6.826290650828249
52,-6.802824284846581
53,-6.790895084199054
54,-6.801895653112639
55,-6.843761807245692
56,-6.86169944066341
57,-6.909279468733264
58,-6.926439398862971
59,-6.942439417311146
60,-6.924204570286324
61,-6.951055673711668
62,-6.942291683008117
63,-6.951462171013826
64,-6.949437052010597
65,-6.949068252598242
66,-6.952569055742412
67,-6.951942665252167
68,-6.955398542650983
69,-6.945752224330197
70,-6.957988163764003
71,-6.956394945807425
72,-6.956381257292164
73,-6.958850913886378
74,-7.524165038074336
75,-7.17872317061936
76,-7.5746020255486215
77,-7.325785074994706
78,-7.547606132178655
79,-7.5832468193036195
80,-7.579670102050283
81,-7.5720585623269825
82,-7.442035174663217
83,-7.612057146208285
84,-7.497620169837144
85,-7.543429464489477
86,-7.400383610811679
87,-7.31037761373646
88,-7.597964668414342
89,-7.62409286144365
90,-7.639087941955109
91,-7.612020800874757
92,-7.6619803097406995
93,-7.537458803812623
94,-7.683325949256928
95,-7.559789098735122
96,-7.683041574820143
97,-7.4969983237692706
98,-7.66639546558182
99,-7.599230786140019
100,-7.675979158705885
101,-7.632820206007352
102,-7.683355394549305
103,-7.753921849682504
104,-7.251470559722384
105,-7.780639869520024
106,-7.529036944796636
107,-7.767060294741289
108,-7.690626761875024
109,-7.771772346106231
110,-7.63306314847608
111,-7.76959728514688
112,-7.664546731467947
113,-7.769101273560658
114,-7.573523405587298
115,-7.74312816324208
116,-7.669043711716465
117,-7.7504150861145265
118,-7.794646990233884
119,-7.785640761820699
120,-7.772482315552811
121,-7.699906621997089
122,-7.7236158493285885
123,-7.778541790018794
124,-7.768126458462028
125,-7.676577140003777
126,-7.7777133707185095
127,-7.715932869191131
128,-7.77288794906708
129,-7.387751076056863
130,-7.765017332540346
131,-7.822597926212132
132,-7.705206869698883
133,-7.837866249911234
134,-7.768580177241475
135,-7.836002915105884
136,-7.6903034857455115
137,-7.821761317242636
138,-7.563455799094101
139,-7.83403744267723
140,-7.782789241242573
141,-7.826093733847641
142,-7.596231965146864
143,-7.825605364202952
144,-7.643876258272764
145,-7.804712918706066
146,-7.527945393768618
147,-7.787786778384353
148,-7.711524525000057
149,-7.799751387317693
150,-7.873752851143937
151,-7.805528769491647
152,-7.804655947175192
153,-7.698242769707995
154,-7.751716118386555
155,-7.730895004044942
156,-7.7159862159532
157,-7.703505548238983
158,-7.872463878483705
159,-7.727495974099626
160,-7.896922433463731
161,-7.801934459403897
162,-7.902995579092861
163,-7.573887555767455
164,-7.905704286132099
165,-7.875482355180875
166,-7.852446185882171
167,-7.950671262238617
168,-7.62654509460631
169,-7.9514777230214255
170,-7.833571388230073
171,-7.951580102828395
172,-7.745274198366789
173,-7.950104045055264
174,-7.858127661386855
175,-7.950274114962263
176,-7.861995418311119
177,-7.949432177054592
178,-7.771401048694357
179,-7.946966086269506
180,-7.8558216074045175
181,-7.949789169338036
182,-7.807515899917187
183,-7.92704164694775
184,-7.842461836380693
185,-7.951408665622571
186,-7.816958104838568
187,-7.84193572700872
188,-7.843258660577095
189,-7.873261002844082
190,-7.6721600150575355
191,-7.878450315594369
192,-7.607031039872286
193,-7.906360819139067
194,-7.859825241236525
195,-7.953515469633802
196,-7.8498560410256655
197,-7.957555711769763
198,-7.849425395363689
199,-7.93952185043903
200,-7.765010889140435
