molecule,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
H2,6-31g,0.35,jw,real_amplitudes,1,cobyla,250,137,null,null,False,-0.7111388529979099,-0.8356939275784783,FCI,-0.8356939275784783,0.12455507458056836,78.15943029497787,False,-2.2230737413407673,250,True,,8,185,1.5119348883428574,0.3356896649929695,3.801172665989725,4.139067765005166
H2,6-31g,0.35,jw,real_amplitudes,1,slsqp,250,137,null,null,False,0.3362303995289102,-0.8356939275784783,FCI,-0.8356939275784783,1.1719243271073885,735.3930625788303,False,-1.1757044888139472,289,True,,8,185,1.5119348883428574,0.3628515239979606,3.592246897998848,3.956693015003111
H2,6-31g,0.35,jw,real_amplitudes,2,cobyla,250,137,null,null,False,-0.6953614755451734,-0.8356939275784783,FCI,-0.8356939275784783,0.1403324520333049,88.05987664296714,False,-2.2072963638880307,250,True,,8,185,1.5119348883428574,0.36153752500831615,3.583423475996824,3.9465481829975033
H2,6-31g,0.35,jw,real_amplitudes,2,slsqp,250,137,null,null,False,-0.8191555354561075,-0.8356939275784783,FCI,-0.8356939275784783,0.016538392122370738,10.37798990231674,False,-2.331090423798965,727,True,,8,185,1.5119348883428574,0.35372065800765995,9.916056545989704,10.271396231997642
H2,6-31g,0.35,jw,efficient_su2,1,cobyla,250,137,null,null,False,-0.14641114937157917,-0.8356939275784783,FCI,-0.8356939275784783,0.6892827782068991,432.53114686983304,False,-1.6583460377144366,250,True,,8,185,1.5119348883428574,0.4514719860017067,4.056115043000318,4.510430316004204
H2,6-31g,0.35,jw,efficient_su2,1,slsqp,250,137,null,null,False,-0.8191561221956067,-0.8356939275784783,FCI,-0.8356939275784783,0.01653780538287153,10.37762171800033,False,-2.331091010538464,926,True,,8,185,1.5119348883428574,0.4795264459971804,12.740132024002378,13.222300698995241
H2,6-31g,0.35,jw,efficient_su2,2,cobyla,250,137,null,null,False,0.6367827464718168,-0.8356939275784783,FCI,-0.8356939275784783,1.472476674050295,923.9923652566266,False,-0.8751521418710406,250,True,,8,185,1.5119348883428574,0.48670682800002396,4.169298398002866,4.660343540002941
H2,6-31g,0.35,jw,efficient_su2,2,slsqp,250,137,null,null,False,-0.8191559676210154,-0.8356939275784783,FCI,-0.8356939275784783,0.016537959957462878,10.377718714947573,False,-2.3310908559638728,1177,True,,8,185,1.5119348883428574,0.38677518800250255,17.224096931007807,17.613142225993215
H2,6-31g,0.5,jw,real_amplitudes,1,cobyla,250,137,null,null,False,-1.0551066521563583,-1.077863896574488,FCI,-1.077863896574488,0.022757244418129652,14.28037568757612,False,-2.1134610739963584,250,True,,8,185,1.05835442184,0.41803897501085885,3.4578351310046855,3.878049168008147
H2,6-31g,0.5,jw,real_amplitudes,1,slsqp,250,137,null,null,False,-0.1318928844583953,-1.077863896574488,FCI,-1.077863896574488,0.9459710121160927,593.6053238419572,False,-1.1902473062983954,273,True,,8,185,1.05835442184,0.34573663599439897,3.2687581749923993,3.6161899180006003
H2,6-31g,0.5,jw,real_amplitudes,2,cobyla,250,137,null,null,False,-1.053920464607198,-1.077863896574488,FCI,-1.077863896574488,0.023943431967289985,15.024719050362172,False,-2.112274886447198,250,True,,8,185,1.05835442184,0.3978602130082436,3.5719831280002836,3.9716688399930717
H2,6-31g,0.5,jw,real_amplitudes,2,slsqp,250,137,null,null,False,-1.0580244184402166,-1.077863896574488,FCI,-1.077863896574488,0.01983947813427145,12.449451084558543,False,-2.1163788402802166,801,True,,8,185,1.05835442184,0.3477724130061688,10.804564061996643,11.154033336002612
