distance,energy,method,n_orbitals,n_electrons,timestamp
0.8125,-87.93363619210209,CASCI,42,14,1776780602.78756
0.8535353535353536,-88.18239647319085,CASCI,42,14,1776780602.879044
0.8945707070707071,-88.41689536648171,CASCI,42,14,1776780602.9701078
0.9356060606060606,-88.64007513039259,CASCI,42,14,1776780603.067774
0.9766414141414141,-88.85525856056043,CASCI,42,14,1776780603.157959
1.0176767676767677,-89.03952910282135,CASCI,42,14,1776780603.2528472
1.058712121212121,-89.19327564878601,CASCI,42,14,1776780603.3402822
1.0997474747474747,-89.32000649239573,CASCI,42,14,1776780603.432537
1.1407828282828283,-89.4236227367876,CASCI,42,14,1776780603.521612
1.1818181818181819,-89.5077321278896,CASCI,42,14,1776780603.6113899
1.2228535353535355,-89.57549424216775,CASCI,42,14,1776780603.695703
1.2638888888888888,-89.62961790184227,CASCI,42,14,1776780603.785467
1.3049242424242424,-89.67240360715967,CASCI,42,14,1776780603.869747
1.345959595959596,-89.70579539866158,CASCI,42,14,1776780603.9627578
1.3869949494949494,-89.73142894976851,CASCI,42,14,1776780604.048234
1.428030303030303,-89.75067122963551,CASCI,42,14,1776780604.139912
1.4690656565656566,-89.76465197104945,CASCI,42,14,1776780604.2228281
1.5101010101010102,-89.77429111796357,CASCI,42,14,1776780604.313519
1.5511363636363638,-89.78032813264596,CASCI,42,14,1776780604.3959098
1.5921717171717171,-89.78335619520603,CASCI,42,14,1776780604.48762
1.6332070707070707,-89.78385823293209,CASCI,42,14,1776780604.577482
1.6742424242424243,-89.78223796445445,CASCI,42,14,1776780604.659531
1.7152777777777777,-89.77884123704547,CASCI,42,14,1776780604.7703512
1.7563131313131313,-89.77396799900166,CASCI,42,14,1776780604.869368
1.7973484848484849,-89.76787845567743,CASCI,42,14,1776780604.965198
1.8383838383838385,-89.76079693375529,CASCI,42,14,1776780605.067009
1.879419191919192,-89.75291541858809,CASCI,42,14,1776780605.174551
1.9204545454545454,-89.74439732899316,CASCI,42,14,1776780605.2749388
1.961489898989899,-89.73538140934559,CASCI,42,14,1776780605.3728461
2.0025252525252526,-89.72598546892458,CASCI,42,14,1776780605.487398
2.043560606060606,-89.7163097688259,CASCI,42,14,1776780605.5918028
2.0845959595959593,-89.70643998901413,CASCI,42,14,1776780605.706773
2.125631313131313,-89.69644979956455,CASCI,42,14,1776780605.819117
2.166666666666667,-89.68640311874508,CASCI,42,14,1776780605.9515798
2.2077020202020203,-89.6763562113896,CASCI,42,14,1776780606.05773
2.2487373737373737,-89.66635982018809,CASCI,42,14,1776780606.153594
2.2897727272727275,-89.65646161805765,CASCI,42,14,1776780606.246186
2.330808080808081,-89.64670958859375,CASCI,42,14,1776780606.332167
2.3718434343434343,-89.63715724330291,CASCI,42,14,1776780606.4533162
2.412878787878788,-89.62787300967528,CASCI,42,14,1776780606.556684
2.4539141414141414,-89.61895674571224,CASCI,42,14,1776780606.656257
2.494949494949495,-89.61056441838227,CASCI,42,14,1776780606.7592142
2.5359848484848486,-89.60291642140753,CASCI,42,14,1776780606.858525
2.577020202020202,-89.59621367510285,CASCI,42,14,1776780606.9546418
2.6180555555555554,-89.5904790204336,CASCI,42,14,1776780607.0636082
2.659090909090909,-89.5855306487178,CASCI,42,14,1776780607.161739
2.7001262626262625,-89.58112790490205,CASCI,42,14,1776780607.270232
2.741161616161616,-89.57708145772551,CASCI,42,14,1776780607.3653069
2.7821969696969697,-89.5732770408365,CASCI,42,14,1776780607.4656708
2.823232323232323,-89.56965224619006,CASCI,42,14,1776780607.565237
2.864267676767677,-89.56618284596254,CASCI,42,14,1776780607.654474
2.9053030303030303,-89.5638193170777,CASCI,42,14,1776780607.754448
2.946338383838384,-89.56167810740304,CASCI,42,14,1776780607.850591
2.9873737373737375,-89.55949838730743,CASCI,42,14,1776780607.949076
3.028409090909091,-89.55731387091816,CASCI,42,14,1776780608.042109
3.0694444444444446,-89.55515137429623,CASCI,42,14,1776780608.249235
3.110479797979798,-89.55303039389449,CASCI,42,14,1776780608.3540711
3.1515151515151514,-89.55096602906787,CASCI,42,14,1776780608.45665
3.192550505050505,-89.54897083544824,CASCI,42,14,1776780608.564357
3.2335858585858586,-89.54705133230757,CASCI,42,14,1776780608.661498
3.274621212121212,-89.54521543922414,CASCI,42,14,1776780608.769825
3.3156565656565657,-89.54346781560048,CASCI,42,14,1776780608.871846
3.356691919191919,-89.54181195669739,CASCI,42,14,1776780608.977406
3.397727272727273,-89.5402502368519,CASCI,42,14,1776780609.079627
3.4387626262626263,-89.53878391870524,CASCI,42,14,1776780609.184886
3.4797979797979797,-89.53741357261117,CASCI,42,14,1776780609.2898319
3.5208333333333335,-89.53613861736797,CASCI,42,14,1776780609.392813
3.561868686868687,-89.53495790480342,CASCI,42,14,1776780609.501871
3.6029040404040407,-89.53386961218564,CASCI,42,14,1776780609.604234
3.643939393939394,-89.53287116551942,CASCI,42,14,1776780609.707932
3.6849747474747474,-89.53195993971957,CASCI,42,14,1776780609.806049
3.726010101010101,-89.53113225633938,CASCI,42,14,1776780609.9117289
3.7670454545454546,-89.53038400222572,CASCI,42,14,1776780610.008957
3.808080808080808,-89.52971190419046,CASCI,42,14,1776780610.1095538
3.8491161616161618,-89.52911109867287,CASCI,42,14,1776780610.2046359
3.890151515151515,-89.52857708341244,CASCI,42,14,1776780610.300131
3.9311868686868685,-89.5281053542076,CASCI,42,14,1776780610.396186
3.9722222222222223,-89.52769144533524,CASCI,42,14,1776780610.496869
4.013257575757576,-89.52733095867532,CASCI,42,14,1776780610.589694
4.054292929292929,-89.52701960311148,CASCI,42,14,1776780610.684862
4.095328282828283,-89.52675314432327,CASCI,42,14,1776780610.782836
4.136363636363637,-89.52652790327825,CASCI,42,14,1776780610.912499
4.17739898989899,-89.52634004314937,CASCI,42,14,1776780611.0128121
4.218434343434343,-89.52618611639159,CASCI,42,14,1776780611.100807
4.259469696969697,-89.52606294726851,CASCI,42,14,1776780611.201709
4.30050505050505,-89.52596761049239,CASCI,42,14,1776780611.2956002
4.341540404040404,-89.5258974193419,CASCI,42,14,1776780611.3936372
4.382575757575758,-89.52584991980355,CASCI,42,14,1776780611.482752
4.423611111111111,-89.52582287321847,CASCI,42,14,1776780611.584636
4.4646464646464645,-89.52581424646067,CASCI,42,14,1776780611.678011
4.505681818181818,-89.52582234610954,CASCI,42,14,1776780611.776222
4.546717171717171,-89.52584535358875,CASCI,42,14,1776780611.876707
4.587752525252525,-89.5258818969819,CASCI,42,14,1776780611.9753861
4.628787878787879,-89.52593059780087,CASCI,42,14,1776780612.066737
4.669823232323232,-89.53645176266517,CASCI,42,14,1776780612.166471
4.7108585858585865,-89.5371960511373,CASCI,42,14,1776780612.252008
4.7518939393939394,-89.53992026284439,CASCI,42,14,1776780612.346615
4.792929292929292,-89.52622572553304,CASCI,42,14,1776780612.4584682
4.833964646464646,-89.54538309338301,CASCI,42,14,1776780612.558114
4.875,-88.26661804043297,CASCI,42,14,1776780612.745321
