distance,energy,method,n_orbitals,n_electrons,timestamp
0.71875,-15.139781577811627,CASCI,24,6,1780075849.5566726
0.7550505050505051,-15.249126974010697,CASCI,24,6,1780075849.7226481
0.79135101010101,-15.34215314873401,CASCI,24,6,1780075849.8785472
0.8276515151515151,-15.421151875698104,CASCI,24,6,1780075850.0317202
0.8639520202020202,-15.488046880170264,CASCI,24,6,1780075850.191358
0.9002525252525253,-15.544471517964837,CASCI,24,6,1780075850.3442755
0.9365530303030303,-15.591825756501134,CASCI,24,6,1780075850.507967
0.9728535353535354,-15.631318184363176,CASCI,24,6,1780075850.6683662
1.0091540404040404,-15.663997513456788,CASCI,24,6,1780075850.8475275
1.0454545454545454,-15.690776653801523,CASCI,24,6,1780075851.005912
1.0817550505050506,-15.712451431307693,CASCI,24,6,1780075851.1598427
1.1180555555555556,-15.72971543374922,CASCI,24,6,1780075851.3260536
1.1543560606060606,-15.743172136558163,CASCI,24,6,1780075851.487875
1.1906565656565657,-15.753345206465388,CASCI,24,6,1780075851.6487646
1.2269570707070707,-15.760687630168071,CASCI,24,6,1780075851.8129394
1.2632575757575757,-15.765590070241721,CASCI,24,6,1780075851.9755778
1.2995580808080809,-15.768388642932,CASCI,24,6,1780075852.1429384
1.3358585858585859,-15.76937216457934,CASCI,24,6,1780075852.3020809
1.3721590909090908,-15.768788828926072,CASCI,24,6,1780075852.4605272
1.408459595959596,-15.7668522471748,CASCI,24,6,1780075852.6926005
1.444760101010101,-15.763746791637814,CASCI,24,6,1780075852.9095418
1.481060606060606,-15.759632215980439,CASCI,24,6,1780075853.084763
1.5173611111111112,-15.75464756535223,CASCI,24,6,1780075853.2576303
1.5536616161616161,-15.748914426248708,CASCI,24,6,1780075853.427329
1.589962121212121,-15.742539591630466,CASCI,24,6,1780075853.5986383
1.6262626262626263,-15.735617229413645,CASCI,24,6,1780075853.7676547
1.6625631313131313,-15.728230643434806,CASCI,24,6,1780075853.936546
1.6988636363636362,-15.720453708785445,CASCI,24,6,1780075854.0893996
1.7351641414141414,-15.712352051727457,CASCI,24,6,1780075854.2486353
1.7714646464646464,-15.703984029521253,CASCI,24,6,1780075854.4134438
1.8077651515151514,-15.695401564400587,CASCI,24,6,1780075854.6210082
1.8440656565656566,-15.686650844583545,CASCI,24,6,1780075854.8321238
1.8803661616161615,-15.67777294262498,CASCI,24,6,1780075855.0101163
1.9166666666666665,-15.66880435343391,CASCI,24,6,1780075855.207836
1.9529671717171717,-15.659777471822183,CASCI,24,6,1780075855.397353
1.9892676767676767,-15.650721019212114,CASCI,24,6,1780075855.6121013
2.0255681818181817,-15.641660427445148,CASCI,24,6,1780075855.7768784
2.061868686868687,-15.643597336119026,CASCI,24,6,1780075855.954088
2.098169191919192,-15.635524261106584,CASCI,24,6,1780075856.1191192
2.134469696969697,-15.627561997981683,CASCI,24,6,1780075856.3140368
2.170770202020202,-15.619731484269606,CASCI,24,6,1780075856.5094256
2.2070707070707067,-15.612052445465308,CASCI,24,6,1780075856.674448
2.243371212121212,-15.604543693203276,CASCI,24,6,1780075856.8307254
2.279671717171717,-15.597223413146907,CASCI,24,6,1780075856.993958
2.3159722222222223,-15.590109440500761,CASCI,24,6,1780075857.1744375
2.352272727272727,-15.58321951868392,CASCI,24,6,1780075857.3430219
2.3885732323232323,-15.576571532965357,CASCI,24,6,1780075857.5067546
2.424873737373737,-15.57018370535561,CASCI,24,6,1780075857.7404025
2.461174242424242,-15.56407472950939,CASCI,24,6,1780075857.9445848
2.4974747474747474,-15.558263815016755,CASCI,24,6,1780075858.1194432
2.5337752525252526,-15.55277060039099,CASCI,24,6,1780075858.290636
2.570075757575758,-15.547614886097616,CASCI,24,6,1780075858.5069778
2.6063762626262625,-15.542816138197088,CASCI,24,6,1780075858.6986828
2.6426767676767673,-15.538392726888304,CASCI,24,6,1780075858.8889756
2.6789772727272725,-15.534360805892454,CASCI,24,6,1780075859.0620377
2.7152777777777777,-15.53073344935385,CASCI,24,6,1780075859.2400794
2.751578282828283,-15.527518827128281,CASCI,24,6,1780075859.4059975
2.7878787878787876,-15.52471939989163,CASCI,24,6,1780075859.5717676
2.824179292929293,-15.522331078554368,CASCI,24,6,1780075859.7724903
2.860479797979798,-15.520343049426408,CASCI,24,6,1780075859.9518285
2.8967803030303028,-15.518738259938758,CASCI,24,6,1780075860.1269138
2.933080808080808,-15.5174944875063,CASCI,24,6,1780075860.2950773
2.969381313131313,-15.51658578496715,CASCI,24,6,1780075860.4632168
3.005681818181818,-15.515984040149664,CASCI,24,6,1780075860.6312482
3.041982323232323,-15.515665355723106,CASCI,24,6,1780075860.8053672
3.0782828282828283,-15.51623522508865,CASCI,24,6,1780075861.0359716
3.114583333333333,-15.516881339518957,CASCI,24,6,1780075861.286846
3.1508838383838382,-15.517601135569967,CASCI,24,6,1780075861.5188572
3.1871843434343434,-15.518391489562827,CASCI,24,6,1780075861.7275813
3.223484848484848,-15.519248745186848,CASCI,24,6,1780075861.9533587
3.2597853535353534,-15.520168745083055,CASCI,24,6,1780075862.1832235
3.2960858585858586,-15.521146867546975,CASCI,24,6,1780075862.3764827
3.3323863636363633,-15.522178069210185,CASCI,24,6,1780075862.5895574
3.3686868686868685,-15.523256933971204,CASCI,24,6,1780075862.8213465
3.4049873737373737,-15.524377726832348,CASCI,24,6,1780075863.0053666
3.4412878787878785,-15.525534444803114,CASCI,24,6,1780075863.2747602
3.4775883838383836,-15.526720807704384,CASCI,24,6,1780075863.4902477
3.513888888888889,-15.527931156583396,CASCI,24,6,1780075863.6603022
3.5501893939393936,-15.529158966844811,CASCI,24,6,1780075863.8247645
3.586489898989899,-15.530397341437034,CASCI,24,6,1780075864.0102797
3.622790404040404,-15.53164069555282,CASCI,24,6,1780075864.210746
3.6590909090909087,-15.532883045581137,CASCI,24,6,1780075864.3930933
3.695391414141414,-15.534118746375608,CASCI,24,6,1780075864.6583378
3.731691919191919,-15.535342529287867,CASCI,24,6,1780075864.990641
3.767992424242424,-15.536549529401503,CASCI,24,6,1780075865.2247229
3.804292929292929,-15.537735312536533,CASCI,24,6,1780075865.4418185
3.8405934343434343,-15.538895912645959,CASCI,24,6,1780075865.7012427
3.876893939393939,-15.54002968259993,CASCI,24,6,1780075865.9058335
3.913194444444444,-15.541130352916504,CASCI,24,6,1780075866.1046898
3.9494949494949494,-15.54219698834845,CASCI,24,6,1780075866.3089178
3.985795454545454,-15.543227612291235,CASCI,24,6,1780075866.5117657
4.022095959595959,-15.54422070982927,CASCI,24,6,1780075866.684761
4.0583964646464645,-15.545175199056846,CASCI,24,6,1780075866.8492908
4.094696969696969,-15.546090395705912,CASCI,24,6,1780075867.0229597
4.130997474747474,-15.546965976043957,CASCI,24,6,1780075867.2003958
