max_iter,system,distance,repeat,mode,eval_count,guide_cost,total_cost,energy,exact_total,abs_error_vs_fci,robust_amp,robust_guided_used
25,H2,0.9615384615384616,0,default,25,0,25.0,-1.1090599139337898,-1.1090599321341164,1.8200326579176362e-08,0.0,
25,H2,0.9615384615384616,0,guided_fourier_robust,25,9,34.0,-1.1090599019625111,-1.1090599321341164,3.017160521423534e-08,0.5983949854596445,True
25,H2,0.9615384615384616,1,default,25,0,25.0,-1.1090599068669902,-1.1090599321341164,2.5267126169126186e-08,0.0,
25,H2,0.9615384615384616,1,guided_fourier_robust,25,9,34.0,-1.1090598529760962,-1.1090599321341164,7.915802013869211e-08,0.5983949854596449,True
25,H2,0.9615384615384616,2,default,25,0,25.0,-1.109059923975018,-1.1090599321341164,8.159098285887012e-09,0.0,
25,H2,0.9615384615384616,2,guided_fourier_robust,25,9,34.0,-1.1090597878790178,-1.1090599321341164,1.4425509853310814e-07,0.5983949854596448,True
25,LiH,0.5,0,default,25,0,25.0,-6.996547753340824,-7.033795929869498,0.03724817652867429,0.0,
25,LiH,0.5,0,guided_fourier_robust,25,9,34.0,-6.997739533180882,-7.033795929869498,0.03605639668861649,0.3049982691326257,True
25,LiH,0.5,1,default,25,0,25.0,-6.99012266439908,-7.033795929869498,0.043673265470418166,0.0,
25,LiH,0.5,1,guided_fourier_robust,25,9,34.0,-6.967950985233886,-7.033795929869498,0.06584494463561263,0.09772864757628451,True
25,LiH,0.5,2,default,25,0,25.0,-6.902818116769171,-7.033795929869498,0.1309778131003272,0.0,
25,LiH,0.5,2,guided_fourier_robust,25,9,34.0,-6.940806255487412,-7.033795929869498,0.09298967438208638,0.22693911907762507,True
25,LiH,0.6538461538461539,0,default,25,0,25.0,-7.359346549071401,-7.410554190427822,0.051207641356421085,0.0,
25,LiH,0.6538461538461539,0,guided_fourier_robust,25,9,34.0,-7.352348169556286,-7.410554190427822,0.0582060208715367,0.3315271616428997,True
25,LiH,0.6538461538461539,1,default,25,0,25.0,-7.383193072328925,-7.410554190427822,0.027361118098896853,0.0,
25,LiH,0.6538461538461539,1,guided_fourier_robust,25,9,34.0,-7.374746258395507,-7.410554190427822,0.03580793203231547,0.12256507699338282,True
