distance,energy,method,n_orbitals,n_electrons,timestamp
0.71875,-85.89267219401519,CASCI,15,14,1776480396.3483698
0.7550505050505051,-86.27921415681534,CASCI,15,14,1776480396.4768076
0.79135101010101,-86.60170688123347,CASCI,15,14,1776480396.5871506
0.8276515151515151,-86.87353778182919,CASCI,15,14,1776480396.7296689
0.8639520202020202,-87.1229395677966,CASCI,15,14,1776480396.8782368
0.9002525252525253,-87.34307417042926,CASCI,15,14,1776480397.0857306
0.9365530303030303,-87.52405777130076,CASCI,15,14,1776480397.2218528
0.9728535353535354,-87.67419149942211,CASCI,15,14,1776480397.3806605
1.0091540404040404,-87.83493567102657,CASCI,15,14,1776480397.518288
1.0454545454545454,-87.97935776045702,CASCI,15,14,1776480397.6771243
1.0817550505050506,-88.1030813794051,CASCI,15,14,1776480397.8056817
1.1180555555555556,-88.20690542312713,CASCI,15,14,1776480397.9535966
1.1543560606060606,-88.29292451612626,CASCI,15,14,1776480398.1072726
1.1906565656565657,-88.3634162670015,CASCI,15,14,1776480398.2982295
1.2269570707070707,-88.420603871488,CASCI,15,14,1776480398.489405
1.2632575757575757,-88.46627129716346,CASCI,15,14,1776480398.6383343
1.2995580808080809,-88.5021822160104,CASCI,15,14,1776480398.7640438
1.3358585858585859,-88.52980138306603,CASCI,15,14,1776480398.9195395
1.3721590909090908,-88.55038677797295,CASCI,15,14,1776480399.0502248
1.408459595959596,-88.56501426144528,CASCI,15,14,1776480399.232933
1.444760101010101,-88.57460165611283,CASCI,15,14,1776480399.3723934
1.481060606060606,-88.57993089329707,CASCI,15,14,1776480399.5385473
1.5173611111111112,-88.58166770640418,CASCI,15,14,1776480399.6763673
1.5536616161616161,-88.58037884802411,CASCI,15,14,1776480399.8479695
1.589962121212121,-88.57654693910227,CASCI,15,14,1776480399.9791577
1.6262626262626263,-88.57058321553927,CASCI,15,14,1776480400.15367
1.6625631313131313,-88.5621904337487,CASCI,15,14,1776480400.3125691
1.6988636363636362,-88.55361193367328,CASCI,15,14,1776480400.479498
1.7351641414141414,-88.54315987163947,CASCI,15,14,1776480400.6163144
1.7714646464646464,-88.53170156548471,CASCI,15,14,1776480400.8344166
1.8077651515151514,-88.51942536545701,CASCI,15,14,1776480401.0151212
1.8440656565656566,-88.50649354914529,CASCI,15,14,1776480401.214631
1.8803661616161615,-88.4930465360867,CASCI,15,14,1776480401.3747008
1.9166666666666665,-88.47920659959324,CASCI,15,14,1776480401.6092455
1.9529671717171717,-88.46508121915029,CASCI,15,14,1776480401.7809029
1.9892676767676767,-88.45076608900756,CASCI,15,14,1776480401.9818432
2.0255681818181817,-88.43634801198951,CASCI,15,14,1776480403.3513935
2.061868686868687,-88.42190780511268,CASCI,15,14,1776480404.7031133
2.098169191919192,-88.40752348481627,CASCI,15,14,1776480405.3165352
2.134469696969697,-88.39327394946788,CASCI,15,14,1776480405.4543118
2.170770202020202,-88.37924386482638,CASCI,15,14,1776480405.642428
2.2070707070707067,-88.36552979270866,CASCI,15,14,1776480405.8001382
2.243371212121212,-88.35419492349202,CASCI,15,14,1776480405.9857676
2.279671717171717,-88.34268343574955,CASCI,15,14,1776480406.227383
2.3159722222222223,-88.33276227228204,CASCI,15,14,1776480406.421748
2.352272727272727,-88.32475206300008,CASCI,15,14,1776480406.6225674
