distance,energy,method,n_orbitals,n_electrons,timestamp
0.8125,-7.647226476565805,FCI,6,4,1777060239.2113369
0.8535353535353536,-7.686076010473035,FCI,6,4,1777060239.283157
0.8945707070707071,-7.719390450477671,FCI,6,4,1777060239.350081
0.9356060606060606,-7.747901969334815,FCI,6,4,1777060239.412609
0.976641414141414,-7.772247767700221,FCI,6,4,1777060239.487595
1.0176767676767675,-7.792980698268687,FCI,6,4,1777060239.552503
1.058712121212121,-7.810578606105038,FCI,6,4,1777060239.6155488
1.0997474747474747,-7.825453094228228,FCI,6,4,1777060239.687849
1.1407828282828285,-7.837957894419761,FCI,6,4,1777060239.7571032
1.181818181818182,-7.84839676203779,FCI,6,4,1777060239.822452
1.2228535353535357,-7.857030738088739,FCI,6,4,1777060239.8956769
1.2638888888888888,-7.864084648435848,FCI,6,4,1777060239.978722
1.3049242424242424,-7.869752775283748,FCI,6,4,1777060240.046868
1.345959595959596,-7.874203702244934,FCI,6,4,1777060240.1777
1.3869949494949494,-7.877584384680919,FCI,6,4,1777060240.250358
1.428030303030303,-7.880023527857263,FCI,6,4,1777060240.318669
1.4690656565656566,-7.881634369202187,FCI,6,4,1777060240.3895411
1.5101010101010102,-7.882516962088135,FCI,6,4,1777060240.4540129
1.5511363636363638,-7.88276005156596,FCI,6,4,1777060240.5236769
1.5921717171717171,-7.8824426211367955,FCI,6,4,1777060240.593902
1.6332070707070707,-7.881635176737936,FCI,6,4,1777060240.658454
1.6742424242424243,-7.880400821522153,FCI,6,4,1777060240.725643
1.7152777777777777,-7.8787961637843935,FCI,6,4,1777060240.8004532
1.7563131313131313,-7.876872090999212,FCI,6,4,1777060240.864665
1.7973484848484849,-7.874674435410329,FCI,6,4,1777060240.9331148
1.8383838383838385,-7.872244550762453,FCI,6,4,1777060241.007552
1.879419191919192,-7.869619815283086,FCI,6,4,1777060241.073318
1.9204545454545456,-7.866834072595144,FCI,6,4,1777060241.142292
1.961489898989899,-7.86391801959832,FCI,6,4,1777060241.213232
2.0025252525252526,-7.860899548286678,FCI,6,4,1777060241.280737
2.043560606060606,-7.857804046818652,FCI,6,4,1777060241.34941
2.0845959595959593,-7.854654663827807,FCI,6,4,1777060241.427448
2.125631313131313,-7.851472538899374,FCI,6,4,1777060241.496747
2.166666666666667,-7.848277001314829,FCI,6,4,1777060241.565058
2.2077020202020203,-7.845085738576724,FCI,6,4,1777060241.650197
2.2487373737373737,-7.841914935880394,FCI,6,4,1777060241.765054
2.2897727272727275,-7.838779387607654,FCI,6,4,1777060241.8321018
2.330808080808081,-7.8356925820946275,FCI,6,4,1777060241.903334
2.3718434343434343,-7.8326667613671015,FCI,6,4,1777060242.183666
2.412878787878788,-7.829712958223555,FCI,6,4,1777060242.264821
2.4539141414141414,-7.826841013921847,FCI,6,4,1777060242.336256
2.494949494949495,-7.824059580700687,FCI,6,4,1777060242.415301
2.5359848484848486,-7.8213761143117555,FCI,6,4,1777060242.480612
2.577020202020202,-7.8187968624922,FCI,6,4,1777060242.546278
2.6180555555555554,-7.8163268557032,FCI,6,4,1777060242.6183722
2.659090909090909,-7.813969906352576,FCI,6,4,1777060242.68567
2.7001262626262625,-7.811728622021697,FCI,6,4,1777060242.748209
2.741161616161616,-7.809604436932927,FCI,6,4,1777060242.819443
2.7821969696969697,-7.80759766413185,FCI,6,4,1777060242.8865652
2.823232323232323,-7.8057075688237285,FCI,6,4,1777060242.954602
2.864267676767677,-7.803932461258466,FCI,6,4,1777060243.024395
2.9053030303030303,-7.802269805774867,FCI,6,4,1777060243.0894442
2.946338383838384,-7.800716341311768,FCI,6,4,1777060243.1567192
2.9873737373737375,-7.7992682080013145,FCI,6,4,1777060243.22297
3.028409090909091,-7.797921074393398,FCI,6,4,1777060243.3000991
3.0694444444444446,-7.796670260341339,FCI,6,4,1777060243.3679628
3.110479797979798,-7.795510851456871,FCI,6,4,1777060243.432179
3.1515151515151514,-7.794437802137764,FCI,6,4,1777060243.5043461
3.192550505050505,-7.793446025316624,FCI,6,4,1777060243.5719302
3.2335858585858586,-7.792530468138406,FCI,6,4,1777060243.636788
3.274621212121212,-7.791686173659665,FCI,6,4,1777060243.710997
3.3156565656565657,-7.790908329333093,FCI,6,4,1777060243.777571
3.356691919191919,-7.790192303492757,FCI,6,4,1777060243.842678
3.397727272727273,-7.78953367131093,FCI,6,4,1777060243.916362
3.4387626262626263,-7.788928231793799,FCI,6,4,1777060243.983457
3.4797979797979797,-7.7883720173603646,FCI,6,4,1777060244.048117
