distance,fci_energy
0.3,-5.8817868846083865
0.3222222222222222,-6.10344563369976
0.34444444444444444,-6.288708813244051
0.36666666666666664,-6.445494707616621
0.3888888888888889,-6.579916875833959
0.4111111111111111,-6.6967527645394025
0.43333333333333335,-6.79973122855156
0.45555555555555555,-6.891694239648078
0.47777777777777775,-6.974710567401832
0.5,-7.050225035299942
0.5222222222222223,-7.119250388520639
0.5444444444444445,-7.1825371734722205
0.5666666666666667,-7.240681061388372
0.5888888888888889,-7.294178109663266
0.6111111111111112,-7.343452428750623
0.6333333333333333,-7.388872037268885
0.6555555555555556,-7.43075970375593
0.6777777777777778,-7.4694011925035735
0.7,-7.5050517668524
0.7222222222222222,-7.5379413407297715
0.7444444444444445,-7.568278541078643
0.7666666666666666,-7.596253895611171
0.788888888888889,-7.6220423261534425
0.8111111111111111,-7.64580509672567
0.8333333333333333,-7.667691337943793
0.8555555555555556,-7.687839246272313
0.8777777777777778,-7.706377037836282
0.8999999999999999,-7.723423721034655
0.9222222222222223,-7.73908973916177
0.9444444444444444,-7.753477522994
0.9666666666666668,-7.76668198350335
0.9888888888888889,-7.778790966407595
1.011111111111111,-7.7898856831710415
1.0333333333333334,-7.800041127338046
1.0555555555555556,-7.809326480694105
1.0777777777777777,-7.817805510602564
1.1,-7.825536957802459
1.1222222222222222,-7.832574912786715
1.1444444444444444,-7.838969178392342
1.1666666666666667,-7.844765616235085
1.1888888888888889,-7.850006474933039
1.211111111111111,-7.8547306985469945
1.2333333333333334,-7.858974214217328
1.2555555555555555,-7.862770198523151
1.277777777777778,-7.866149322584966
1.3,-7.869139976352033
1.3222222222222224,-7.871768472854585
1.3444444444444446,-7.874059233449884
1.3666666666666667,-7.876034955269295
1.388888888888889,-7.877716762178791
1.4111111111111112,-7.879124340614923
1.4333333333333333,-7.880276061662135
1.4555555555555557,-7.881189090702994
1.4777777777777779,-7.881879485913975
1.5,-7.882362286798725
1.5222222222222224,-7.882651593861046
1.5444444444444445,-7.882760640421837
1.5666666666666667,-7.882701857485722
1.588888888888889,-7.8824869324660405
1.6111111111111112,-7.88212686248508
1.6333333333333335,-7.881632002880113
1.6555555555555557,-7.8810121114676175
1.6777777777777778,-7.8802763890472125
1.7000000000000002,-7.879433516564266
1.7222222222222223,-7.87849168929475
1.7444444444444445,-7.877458648367911
1.7666666666666668,-7.876341709900541
1.788888888888889,-7.875147791980615
1.8111111111111111,-7.873883439706539
1.8333333333333335,-7.8725548484622765
1.8555555555555556,-7.871167885584307
1.877777777777778,-7.869728110556801
1.9000000000000001,-7.868240793853795
1.9222222222222223,-7.866710934531091
1.9444444444444446,-7.865143276657849
1.9666666666666668,-7.863542324664388
1.988888888888889,-7.861912357673401
2.011111111111111,-7.8602574428708225
2.033333333333333,-7.85858144796499
2.0555555555555554,-7.856888052774312
2.077777777777778,-7.855180759977799
2.1,-7.853462905056599
2.1222222222222222,-7.851737665449754
2.1444444444444444,-7.850008068944117
2.1666666666666665,-7.848277001314836
2.188888888888889,-7.846547213231311
2.2111111111111112,-7.8448213264426885
2.2333333333333334,-7.843101839256729
2.2555555555555555,-7.841391131327817
2.2777777777777777,-7.839691467771851
2.3,-7.838005002629242
2.322222222222222,-7.836333781702018
2.3444444444444446,-7.834679744796002
2.3666666666666667,-7.833044727406049
2.388888888888889,-7.831430461888184
2.411111111111111,-7.829838578170994
2.433333333333333,-7.828270604065187
2.4555555555555553,-7.826727965238051
2.477777777777778,-7.825211984926475
2.5,-7.823723883467703
