molecule,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
LiH,sto-3g,1.0,jw,real_amplitudes,1,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.767346102391497,-7.76862176803279,CASCI,-7.76862176803279,0.001275665641292889,0.8004916709020595,True,-1.1575613312539552,250,True,,6,62,-6.609784771137542,0.17773916099395137,2.048685760993976,2.2279144460044336
LiH,sto-3g,1.0,jw,real_amplitudes,1,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.767361435435348,-7.76862176803279,CASCI,-7.76862176803279,0.0012603325974414048,0.7908700478878585,True,-1.1575766642977994,576,True,,6,62,-6.609784771137549,0.20135947900416795,3.728881344999536,3.932194036009605
LiH,sto-3g,1.0,jw,real_amplitudes,2,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.766850547954552,-7.76862176803279,CASCI,-7.76862176803279,0.001771220078238045,1.1114565400750773,False,-1.1570657768170118,250,True,,6,62,-6.60978477113754,0.5243852490093559,2.2325245770043693,2.7598750710021704
LiH,sto-3g,1.0,jw,real_amplitudes,2,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.767361435867077,-7.76862176803279,CASCI,-7.76862176803279,0.001260332165712974,0.7908697769743827,True,-1.1575766647295347,741,True,,6,62,-6.609784771137542,0.18730839600902982,5.131564586990862,5.320443147007609
LiH,sto-3g,1.0,jw,efficient_su2,1,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.630934642609327,-7.76862176803279,CASCI,-7.76862176803279,0.1376871254234624,86.39991038735147,False,-1.02114987147178,250,True,,6,62,-6.609784771137547,0.23316318100842182,2.122915133004426,2.357967075004126
LiH,sto-3g,1.0,jw,efficient_su2,1,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.767359458653233,-7.76862176803279,CASCI,-7.76862176803279,0.0012623093795571805,0.7921104964565467,True,-1.1575746875156911,700,True,,6,62,-6.609784771137542,0.1819123120076256,5.1469186219910625,5.330572724007652
LiH,sto-3g,1.0,jw,efficient_su2,2,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.755485404226642,-7.76862176803279,CASCI,-7.76862176803279,0.013136363806148132,8.243186515632209,False,-1.1457006330891004,250,True,,6,62,-6.609784771137542,0.23530342800950166,2.4411272520083003,2.679340721006156
LiH,sto-3g,1.0,jw,efficient_su2,2,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.768519475706742,-7.76862176803279,CASCI,-7.76862176803279,0.0001022923260478592,0.06418935522596608,True,-1.158734704569197,2406,True,,6,62,-6.609784771137545,0.17657804599730298,19.768215249001514,19.947115295988624
LiH,sto-3g,1.2,jw,real_amplitudes,1,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.835615054917195,-7.836736441317111,CASCI,-7.836736441317111,0.0011213863999159912,0.7036800584248838,True,-1.1408650482335265,250,True,,6,62,-6.694750006683669,0.23325789600494318,2.016326548997313,2.2509568670066074
LiH,sto-3g,1.2,jw,real_amplitudes,1,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.8356145243689745,-7.836736441317111,CASCI,-7.836736441317111,0.0011219169481364588,0.7040129822081611,True,-1.1408645176853078,787,True,,6,62,-6.694750006683667,0.1807089219946647,4.902177986994502,5.084214054993936
LiH,sto-3g,1.2,jw,real_amplitudes,2,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.8348410616261885,-7.836736441317111,CASCI,-7.836736441317111,0.0018953796909224607,1.1893678144710624,False,-1.1400910549425125,250,True,,6,62,-6.694750006683676,0.22983975301031023,2.12927376999869,2.360636418001377
LiH,sto-3g,1.2,jw,real_amplitudes,2,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.835615028279371,-7.836736441317111,CASCI,-7.836736441317111,0.001121413037740382,0.7036967738994293,True,-1.1408650215956966,722,True,,6,62,-6.694750006683674,0.1810545229964191,5.007004535000306,5.1899972050014185
LiH,sto-3g,1.2,jw,efficient_su2,1,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.695982398717861,-7.836736441317111,CASCI,-7.836736441317111,0.14075404259924973,88.3244285174126,False,-1.0012323920341895,250,True,,6,62,-6.694750006683672,0.23846517498895992,2.185423761999118,2.4257047419960145
LiH,sto-3g,1.2,jw,efficient_su2,1,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.835615382930475,-7.836736441317111,CASCI,-7.836736441317111,0.0011210583866363422,0.7034742271397845,True,-1.140865376246806,775,True,,6,62,-6.694750006683669,0.20095517100708093,5.791577883006539,5.994292018003762
LiH,sto-3g,1.2,jw,efficient_su2,2,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.8201424079155775,-7.836736441317111,CASCI,-7.836736441317111,0.016594033401533537,10.412905305762909,False,-1.1253924012319083,250,True,,6,62,-6.694750006683669,0.2480198599951109,2.438888082993799,2.688880423011142
LiH,sto-3g,1.2,jw,efficient_su2,2,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.836614346549073,-7.836736441317111,CASCI,-7.836736441317111,0.0001220947680380391,0.07661556579678187,True,-1.1418643398653976,2369,True,,6,62,-6.694750006683676,0.20476186799351126,19.494507836992852,19.701667702000123
LiH,sto-3g,1.4,jw,real_amplitudes,1,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.860525535699803,-7.861597607226823,CASCI,-7.861597607226823,0.0010720715270204906,0.672734531849101,True,-1.1036852179755636,250,True,,6,62,-6.756840317724239,0.22679633100051433,2.251324280994595,2.4795386089972453
LiH,sto-3g,1.4,jw,real_amplitudes,1,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.8605383110432605,-7.861597607226823,CASCI,-7.861597607226823,0.001059296183562708,0.6647178888512513,True,-1.1036979933190219,732,True,,6,62,-6.756840317724238,0.26171978199272417,4.917552148006507,5.181069407990435
LiH,sto-3g,1.4,jw,real_amplitudes,2,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.8597007151784375,-7.861597607226823,CASCI,-7.861597607226823,0.0018968920483857232,1.190316832390477,False,-1.1028603974541997,250,True,,6,62,-6.7568403177242375,0.1677517680072924,2.147600753000006,2.3167463959980523
LiH,sto-3g,1.4,jw,real_amplitudes,2,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.8605381198407205,-7.861597607226823,CASCI,-7.861597607226823,0.001059487386102731,0.6648378701659386,True,-1.1036978021164863,723,True,,6,62,-6.756840317724234,0.2249697310035117,4.846887285995763,5.074394476992893
LiH,sto-3g,1.4,jw,efficient_su2,1,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.717084271114761,-7.861597607226823,CASCI,-7.861597607226823,0.14451333611206252,90.68341903034424,False,-0.9602439533905224,250,True,,6,62,-6.756840317724238,0.2218957059958484,2.182197873000405,2.405846184003167
LiH,sto-3g,1.4,jw,efficient_su2,1,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.860538204235615,-7.861597607226823,CASCI,-7.861597607226823,0.0010594029912081027,0.6647849116100053,True,-1.103697886511375,801,True,,6,62,-6.75684031772424,0.22381537398905493,6.031125715002418,6.257507782007451
LiH,sto-3g,1.4,jw,efficient_su2,2,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.8257062768438415,-7.861597607226823,CASCI,-7.861597607226823,0.035891330382981756,22.5221328372945,False,-1.068865959119603,250,True,,6,62,-6.756840317724238,0.23590803099796176,2.5199667420092737,2.7577880739991087
LiH,sto-3g,1.4,jw,efficient_su2,2,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.861438132452671,-7.861597607226823,CASCI,-7.861597607226823,0.00015947477415245714,0.10007185605363424,True,-1.1045978147284352,2443,True,,6,62,-6.756840317724236,0.17744871201284695,19.954237954996643,20.133627456991235
LiH,sto-3g,1.5949,jw,real_amplitudes,1,cobyla,250,137,"[2, 3]","[0, 1, 2]",True,-7.86177641420945,-7.86308084024789,CASCI,-7.86308084024789,0.0013044260384402762,0.8185390789556193,True,-1.0588237043703823,250,True,,6,62,-6.802952709839068,0.24795589099812787,2.0554103369941004,2.3047211460070685
LiH,sto-3g,1.5949,jw,real_amplitudes,1,slsqp,250,137,"[2, 3]","[0, 1, 2]",True,-7.8620267059501385,-7.86308084024789,CASCI,-7.86308084024789,0.0010541342977514745,0.66147875904773,True,-1.0590739961110671,694,True,,6,62,-6.802952709839071,0.20066342000791337,4.509143709001364,4.711083674003021
