distance,atom,molecule,basis,active_space,active_orbitals,freeze_core,mapper,z2,use_num_particles,num_qubits,num_terms,constant_energy,ref_energy,full_fci_energy,exact_total_energy,vqe_total_energy,exact_vs_ref_abs_error,vqe_vs_exact_abs_error,vqe_vs_ref_abs_error,exact_vs_full_fci_abs_error,vqe_vs_full_fci_abs_error,active_vs_full_fci_abs_error,eval_count,ansatz_name,ansatz_reps,optimizer,optimizer_max_iter,seed,status
0.5,Li 0 0 0; H 0 0 0.5,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.060464974315956,-7.033795929869519,-7.050225035299951,-7.033795929869499,-7.033795822084537,1.9539925233402755e-14,1.0778496228880385e-07,1.0778498182872909e-07,0.016429105430451507,0.016429213215413796,0.016429105430431967,450,real_amplitudes,3,cobyla,450,137,ok
0.6538461538461539,Li 0 0 0; H 0 0 0.6538461538461539,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.340181461119529,-7.410554190427824,-7.427656264844042,-7.41055419042782,-7.410286340137443,4.440892098500626e-15,0.0002678502903767,0.000267850290381233,0.017102074416222024,0.017369924706598816,0.017102074416217583,450,real_amplitudes,3,cobyla,450,137,ok
0.8076923076923077,Li 0 0 0; H 0 0 0.8076923076923077,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.49078718828683,-7.625517053911116,-7.642275028539802,-7.625517053911118,-7.625516150221472,1.7763568394002505e-15,9.036896457814692e-07,9.036896440051123e-07,0.016757974628684558,0.01675887831833034,0.016757974628686334,450,real_amplitudes,3,cobyla,450,137,ok
0.9615384615384616,Li 0 0 0; H 0 0 0.9615384615384616,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.589694934096442,-7.7477460298050405,-7.763735120911755,-7.747746029805034,-7.747741251545992,6.217248937900877e-15,4.778259042659272e-06,4.778259048876521e-06,0.015989091106720643,0.015993869365763302,0.015989091106714426,450,real_amplitudes,3,cobyla,450,137,ok
1.1153846153846154,Li 0 0 0; H 0 0 1.1153846153846154,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.662254506205455,-7.814871837524527,-7.83048017851757,-7.814871837524533,-7.814177575367953,6.217248937900877e-15,0.0006942621565801,0.000694262156573977,0.015608340993036762,0.016302603149616957,0.01560834099304298,450,real_amplitudes,3,cobyla,450,137,ok
1.2692307692307692,Li 0 0 0; H 0 0 1.2692307692307692,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.718325221320256,-7.848955760295597,-7.864897135085531,-7.848955760295599,-7.848955109217973,1.7763568394002505e-15,6.510776264789797e-07,6.510776247026229e-07,0.015941374789932183,0.015942025867558662,0.01594137478993396,450,real_amplitudes,3,cobyla,450,137,ok
1.4230769230769231,Li 0 0 0; H 0 0 1.4230769230769231,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.762936571741825,-7.862696283300043,-7.879775170340179,-7.862696283300044,-7.862694889342992,1.7763568394002505e-15,1.393957052009398e-06,1.3939570502330412e-06,0.017078887040134383,0.017080280997186392,0.01707888704013616,450,real_amplitudes,3,cobyla,450,137,ok
1.576923076923077,Li 0 0 0; H 0 0 1.576923076923077,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.799164172420263,-7.863582158038012,-7.8826213823651194,-7.863582158038014,-7.863582153855584,1.7763568394002505e-15,4.18243040201105e-09,4.182427737475791e-09,0.019039224327105586,0.0190392285095351,0.019039224327107362,414,real_amplitudes,3,cobyla,450,137,ok
1.7307692307692308,Li 0 0 0; H 0 0 1.7307692307692308,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.829077493964479,-7.856266040347021,-7.878104751689469,-7.856266040347022,-7.856265404163045,1.7763568394002505e-15,6.361839774982059e-07,6.36183975721849e-07,0.02183871134244697,0.02183934752642447,0.021838711342448747,450,real_amplitudes,3,cobyla,450,137,ok
1.8846153846153848,Li 0 0 0; H 0 0 1.8846153846153846,LiH,sto-3g,"(2, 3)","[0, 1, 2]",True,parity,True,True,3,34,-6.854143606926987,-7.843764425681838,-7.869275300989981,-7.843764425681838,-7.843002890329181,0.0,0.0007615353526571,0.0007615353526571056,0.025510875308143,0.026272410660800105,0.025510875308143,450,real_amplitudes,3,cobyla,450,137,ok
