distance,atom,basis,active_space,active_orbitals,freeze_core,mapper,z2,use_num_particles,num_qubits,num_terms,constant_energy,ref_energy,exact_total_energy,vqe_total_energy,exact_vs_ref_abs_error,vqe_vs_exact_abs_error,vqe_vs_ref_abs_error,eval_count,ansatz_name,ansatz_reps,optimizer,optimizer_max_iter,seed,status
0.8125,Li 0 0 0; H 0 0 0.8125,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.4944560334024395,-7.630491850421455,-7.630491850421458,-7.630491836410689,2.6645352591003757e-15,1.4010768545347222e-08,1.401076588081196e-08,507,real_amplitudes,4,cobyla,600,137,ok
0.8535353535353536,Li 0 0 0; H 0 0 0.8535353535353536,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.524008404952405,-7.669551106314876,-7.669551106314876,-7.669551096378191,0.0,9.936685252398549e-09,9.936685252398549e-09,550,real_amplitudes,4,cobyla,600,137,ok
0.8945707070707071,Li 0 0 0; H 0 0 0.8945707070707071,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.550797036930894,-7.703080431423666,-7.703080431423665,-7.703080286059541,8.881784197001252e-16,1.4536412340504512e-07,1.4536412429322354e-07,600,real_amplitudes,4,cobyla,600,137,ok
0.9,Li 0 0 0; H 0 0 0.9,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.554159509318072,-7.707141612241456,-7.707141612241455,-7.707141280292653,8.881784197001252e-16,3.3194880177944697e-07,3.319488026676254e-07,600,real_amplitudes,4,cobyla,600,137,ok
0.9356060606060606,Li 0 0 0; H 0 0 0.9356060606060606,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.575268278201121,-7.731795739320455,-7.731795739320449,-7.731795732036093,5.3290705182007506e-15,7.28435622932011e-09,7.2843615583906285e-09,574,real_amplitudes,4,cobyla,600,137,ok
0.976641414141414,Li 0 0 0; H 0 0 0.976641414141414,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.597761437619956,-7.756321419919913,-7.756321419919909,-7.756321413946276,3.552713678800501e-15,5.973633143696588e-09,5.973636696410267e-09,503,real_amplitudes,4,cobyla,600,137,ok
1.0176767676767675,Li 0 0 0; H 0 0 1.0176767676767675,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.618539365285484,-7.777200454239228,-7.777200454239227,-7.77720044712672,8.881784197001252e-16,7.1125070277844316e-09,7.112507915962851e-09,435,real_amplitudes,4,cobyla,600,137,ok
1.058712121212121,Li 0 0 0; H 0 0 1.058712121212121,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.6378102761577455,-7.794903224897629,-7.7949032248976255,-7.794903222468971,3.552713678800501e-15,2.428654610753256e-09,2.4286581634669342e-09,440,real_amplitudes,4,cobyla,600,137,ok
1.0997474747474747,Li 0 0 0; H 0 0 1.0997474747474747,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.655743062751361,-7.809835802757895,-7.809835802757894,-7.80983580023613,1.7763568394002505e-15,2.521763242668839e-09,2.521765019025679e-09,415,real_amplitudes,4,cobyla,600,137,ok
1.1407828282828285,Li 0 0 0; H 0 0 1.1407828282828285,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.672477685907026,-7.822347916454935,-7.822347916454938,-7.82234790824066,3.552713678800501e-15,8.214278146567722e-09,8.214274593854043e-09,414,real_amplitudes,4,cobyla,600,137,ok
1.181818181818182,Li 0 0 0; H 0 0 1.181818181818182,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.688132260844952,-7.832740508732899,-7.832740508732894,-7.83274050749061,4.440892098500626e-15,1.2422844974935288e-09,1.242288938385627e-09,460,real_amplitudes,4,cobyla,600,137,ok
1.2,Li 0 0 0; H 0 0 1.2,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.694750006683667,-7.836736441317104,-7.836736441317104,-7.836736436187724,0.0,5.129379587742733e-09,5.129379587742733e-09,449,real_amplitudes,4,cobyla,600,137,ok
1.2228535353535357,Li 0 0 0; H 0 0 1.2228535353535357,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.702807922713718,-7.841272714794425,-7.841272714794427,-7.84127270086054,2.6645352591003757e-15,1.3933886933159556e-08,1.3933884268624297e-08,500,real_amplitudes,4,cobyla,600,137,ok
1.2638888888888888,Li 0 0 0; H 0 0 1.2638888888888888,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.716592266326472,-7.848168124173495,-7.8481681241734975,-7.848168119779658,2.6645352591003757e-15,4.393839958538592e-09,4.393837294003333e-09,475,real_amplitudes,4,cobyla,600,137,ok
1.3049242424242424,Li 0 0 0; H 0 0 1.3049242424242424,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.729561876668029,-7.853620256425812,-7.85362025642581,-7.853620242407988,2.6645352591003757e-15,1.4017821570178056e-08,1.4017824234713316e-08,368,real_amplitudes,4,cobyla,600,137,ok
1.345959595959596,Li 0 0 0; H 0 0 1.345959595959596,sto-3g,"(2, 3)","[0, 1, 2]",True,bk,True,True,3,34,-6.741784233597392,-7.857797244009768,-7.857797244009769,-7.857797240933023,8.881784197001252e-16,3.076746857288981e-09,3.0767459691105614e-09,519,real_amplitudes,4,cobyla,600,137,ok
