molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,total_experiment_s
LiH,sto-3g,presentation_range_curve_sto3g,0.8125,jw,puccsd,1,slsqp,100,137,-7.630491796827669,-7.630491850421455,CASCI,5.3593786297767565e-08,3.363058324592583e-05,True,60,True,,,6,62,-6.494456033402427,2.1365795970050385
LiH,sto-3g,presentation_range_curve_sto3g,0.8535353535353536,jw,puccsd,1,slsqp,100,137,-7.669550976911781,-7.669551106314876,CASCI,1.2940309535025563e-07,8.120160696014356e-05,True,60,True,,,6,62,-6.524008404952423,2.1698294840025483
LiH,sto-3g,presentation_range_curve_sto3g,0.8945707070707071,jw,puccsd,1,slsqp,100,137,-7.703079974197908,-7.703080431423666,CASCI,4.572257576995753e-07,0.0002869132779883028,True,60,True,,,6,62,-6.550797036930912,5.391604799006018
LiH,sto-3g,presentation_range_curve_sto3g,0.9,jw,puccsd,1,slsqp,100,137,-7.707141073973656,-7.707141612241456,CASCI,5.382678001097929e-07,0.00033776788897909606,True,60,True,,,6,62,-6.554159509318084,2.478010599996196
LiH,sto-3g,presentation_range_curve_sto3g,0.9356060606060606,jw,puccsd,1,slsqp,100,137,-7.731795716841296,-7.731795739320455,CASCI,2.2479158978683245e-08,1.4105874571554545e-05,True,61,True,,,6,62,-6.575268278201118,2.333899841993116
LiH,sto-3g,presentation_range_curve_sto3g,0.976641414141414,jw,puccsd,1,slsqp,100,137,-7.756321060887961,-7.756321419919913,CASCI,3.5903195172437563e-07,0.00022529578099461124,True,60,True,,,6,62,-6.5977614376199645,2.051732940002694
LiH,sto-3g,presentation_range_curve_sto3g,1.0176767676767675,jw,puccsd,1,slsqp,100,137,-7.7772001937088255,-7.777200454239228,CASCI,2.605304025848909e-07,0.0001634851723956423,True,60,True,,,6,62,-6.618539365285496,2.0136717800050974
LiH,sto-3g,presentation_range_curve_sto3g,1.058712121212121,jw,puccsd,1,slsqp,100,137,-7.794903038411958,-7.794903224897629,CASCI,1.8648567134960103e-07,0.0001170214371429168,True,60,True,,,6,62,-6.6378102761577615,2.1541390040074475
LiH,sto-3g,presentation_range_curve_sto3g,1.0997474747474747,jw,puccsd,1,slsqp,100,137,-7.8098356890984,-7.809835802757895,CASCI,1.1365949514896556e-07,7.132235614143223e-05,True,60,True,,,6,62,-6.655743062751377,3.480097564010066
LiH,sto-3g,presentation_range_curve_sto3g,1.1407828282828285,jw,puccsd,1,slsqp,100,137,-7.8223478514299405,-7.822347916454935,CASCI,6.502499427796238e-08,4.08037691343699e-05,True,60,True,,,6,62,-6.672477685907035,6.601310963000287
LiH,sto-3g,presentation_range_curve_sto3g,1.2,jw,puccsd,1,slsqp,100,137,-7.8367364103476085,-7.836736441317104,CASCI,3.096949541259164e-08,1.943363709685997e-05,True,54,True,,,6,62,-6.694750006683669,2.24276830200688
LiH,sto-3g,presentation_range_curve_sto3g,1.2228535353535357,jw,puccsd,1,slsqp,100,137,-7.841272160428875,-7.841272714794425,CASCI,5.54365549909619e-07,0.00034786937185823507,True,53,True,,,6,62,-6.702807922713714,2.0630815390031785
LiH,sto-3g,presentation_range_curve_sto3g,1.2638888888888888,jw,puccsd,1,slsqp,100,137,-7.848167800135763,-7.848168124173495,CASCI,3.240377317581533e-07,0.00020333659301782704,True,73,True,,,6,62,-6.716592266326479,2.9999949800112518
LiH,sto-3g,presentation_range_curve_sto3g,1.3049242424242424,jw,puccsd,1,slsqp,100,137,-7.853620102321128,-7.853620256425812,CASCI,1.541046845687788e-07,9.670207650906981e-05,True,73,True,,,6,62,-6.729561876668029,2.5966858729952946
LiH,sto-3g,presentation_range_curve_sto3g,1.345959595959596,jw,puccsd,1,slsqp,100,137,-7.857797196663466,-7.857797244009768,CASCI,4.7346301990103257e-08,2.9710230615507707e-05,True,73,True,,,6,62,-6.741784233597401,2.9056168739916757
LiH,sto-3g,presentation_range_curve_sto3g,1.3869949494949494,jw,puccsd,1,slsqp,100,137,-7.86084576311069,-7.8608457800777565,CASCI,1.6967066862605407e-08,1.0646987159886657e-05,True,67,True,,,6,62,-6.7533192537848805,3.1594030109990854
LiH,sto-3g,presentation_range_curve_sto3g,1.428030303030303,jw,puccsd,1,slsqp,100,137,-7.8628941497237275,-7.862894397193978,CASCI,2.474702505139703e-07,0.000155289809429771,True,66,True,,,6,62,-6.76422046732039,2.6893910770013463
LiH,sto-3g,presentation_range_curve_sto3g,1.4690656565656566,jw,puccsd,1,slsqp,100,137,-7.864056100784101,-7.86405617754743,CASCI,7.676332902661898e-08,4.816967983416465e-05,True,66,True,,,6,62,-6.7745359792214614,2.264721262996318
LiH,sto-3g,presentation_range_curve_sto3g,1.5101010101010102,jw,puccsd,1,slsqp,100,137,-7.864430704008424,-7.864430986119204,CASCI,2.8211078006989965e-07,0.00017702705349088266,True,59,True,,,6,62,-6.784309243461942,2.2577450520038838
LiH,sto-3g,presentation_range_curve_sto3g,1.545,jw,puccsd,1,slsqp,100,137,-7.864196924753545,-7.864196941497442,CASCI,1.6743897823801035e-08,1.0506946579515563e-05,True,66,True,,,6,62,-6.7922239150216,2.210765840995009
LiH,sto-3g,presentation_range_curve_sto3g,1.5511363636363638,jw,puccsd,1,slsqp,100,137,-7.86410729110224,-7.864107310942412,CASCI,1.9840172171825543e-08,1.2449886599370076e-05,True,66,True,,,6,62,-6.793579670249052,2.3728158510057256
LiH,sto-3g,presentation_range_curve_sto3g,1.5921717171717171,jw,puccsd,1,slsqp,100,137,-7.863163750749921,-7.863163790873617,CASCI,4.01236963654128e-08,2.517798058256382e-05,True,60,True,,,6,62,-6.802383139869351,3.4274470189993735
LiH,sto-3g,presentation_range_curve_sto3g,1.6332070707070707,jw,puccsd,1,slsqp,100,137,-7.8616704644925175,-7.861670487476831,CASCI,2.298431311942295e-08,1.4422863341255977e-05,True,66,True,,,6,62,-6.810752398034159,2.6577098540001316
LiH,sto-3g,presentation_range_curve_sto3g,1.6742424242424243,jw,puccsd,1,slsqp,100,137,-7.859689936541175,-7.85968995689746,CASCI,2.0356285546085928e-08,1.2773752386738835e-05,True,65,True,,,6,62,-6.818717395158865,2.3284553779958514
LiH,sto-3g,presentation_range_curve_sto3g,1.7152777777777777,jw,puccsd,1,slsqp,100,137,-7.857278148632529,-7.857278160413643,CASCI,1.1781113862241455e-08,7.3927549785812735e-06,True,65,True,,,6,62,-6.826305570367468,2.358085341998958
LiH,sto-3g,presentation_range_curve_sto3g,1.7563131313131313,jw,puccsd,1,slsqp,100,137,-7.854485213049758,-7.854485245675378,CASCI,3.2625620427495505e-08,2.0472870448837276e-05,True,65,True,,,6,62,-6.833542095689027,2.421989274007501
LiH,sto-3g,presentation_range_curve_sto3g,1.7973484848484849,jw,puccsd,1,slsqp,100,137,-7.851356060035871,-7.851356223383014,CASCI,1.6334714292298713e-07,0.00010250180230846073,True,65,True,,,6,62,-6.8404500896121245,2.2380518699937966
LiH,sto-3g,presentation_range_curve_sto3g,1.8383838383838385,jw,puccsd,1,slsqp,100,137,-7.847931546062675,-7.8479315587878276,CASCI,1.272515248729178e-08,7.985147712147978e-06,True,60,True,,,6,62,-6.847050806388,3.406788610998774
LiH,sto-3g,presentation_range_curve_sto3g,1.879419191919192,jw,puccsd,1,slsqp,100,137,-7.844247679280467,-7.844247693342267,CASCI,1.4061800612807929e-08,8.823906440742491e-06,True,66,True,,,6,62,-6.85336380547113,2.379171516993665
LiH,sto-3g,presentation_range_curve_sto3g,1.9204545454545456,jw,puccsd,1,slsqp,100,137,-7.840337352351411,-7.840337508785042,CASCI,1.564336313819581e-07,9.816351159486115e-05,True,60,True,,,6,62,-6.859407104122296,2.0493651700089686
LiH,sto-3g,presentation_range_curve_sto3g,2.0025252525252526,jw,puccsd,1,slsqp,100,137,-7.831954362715333,-7.831954370494836,CASCI,7.779503263805054e-09,4.8817083135670455e-06,True,65,True,,,6,62,-6.870749772583924,2.4310925059980946
LiH,sto-3g,presentation_range_curve_sto3g,2.043560606060606,jw,puccsd,1,slsqp,100,137,-7.827532840976252,-7.827532940633096,CASCI,9.965684366619598e-08,6.253556631213098e-05,True,81,True,,,6,62,-6.876078642996083,2.6022548750042915
LiH,sto-3g,presentation_range_curve_sto3g,2.08459595959596,jw,puccsd,1,slsqp,100,137,-7.822988815209113,-7.822988902441718,CASCI,8.723260513932019e-08,5.473924481836967e-05,True,81,True,,,6,62,-6.8811970295143325,2.77267389500048
LiH,sto-3g,presentation_range_curve_sto3g,2.125631313131313,jw,puccsd,1,slsqp,100,137,-7.818342727111655,-7.818342898072744,CASCI,1.7096108884118166e-07,0.00010727962189764106,True,90,True,,,6,62,-6.886117063563993,4.522145975002786
LiH,sto-3g,presentation_range_curve_sto3g,2.166666666666667,jw,puccsd,1,slsqp,100,137,-7.813614036515419,-7.81361404308692,CASCI,6.571500676955111e-09,4.123675818295425e-06,True,90,True,,,6,62,-6.890849988812242,2.9352106649894267
LiH,sto-3g,presentation_range_curve_sto3g,2.2077020202020203,jw,puccsd,1,slsqp,100,137,-7.808820154111577,-7.808820192847246,CASCI,3.8735668894673836e-08,2.4306980852427885e-05,True,89,True,,,6,62,-6.895406236967936,3.3070062180049717
LiH,sto-3g,presentation_range_curve_sto3g,2.2487373737373737,jw,puccsd,1,slsqp,100,137,-7.80397780406349,-7.803978199144144,CASCI,3.9508065352578114e-07,0.0002479166658133094,True,82,True,,,6,62,-6.899795496389244,2.926399114992819
LiH,sto-3g,presentation_range_curve_sto3g,2.2897727272727275,jw,puccsd,1,slsqp,100,137,-7.7991041397374135,-7.799104160148111,CASCI,2.0410697132433597e-08,1.2807896146876274e-05,True,58,True,,,6,62,-6.904026774219985,3.056493045995012
LiH,sto-3g,presentation_range_curve_sto3g,2.330808080808081,jw,puccsd,1,slsqp,100,137,-7.794213645941365,-7.794213666392508,CASCI,2.04511430013099e-08,1.2833276293608976e-05,True,58,True,,,6,62,-6.908108452712828,2.268148529998143
