molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,puccsd,1,slsqp,100,137,-7.630491796806796,-7.630491850421455,CASCI,5.361465937880894e-08,3.364368129213702e-05,True,60,True,,,6,62,-6.494456033402431,0.28717536700423807,1.8447906040091766,2.2698989950004034
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,puccsd,1,spsa,100,137,-7.6273219375329315,-7.630491850421455,CASCI,0.0031699128885236405,1.9891488667645811,False,200,True,,,6,62,-6.494456033402418,0.17429036600515246,8.752559386994108,9.027209201987716
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,real_amplitudes,1,cobyla,100,137,-7.834661851176762,-7.848168124173495,CASCI,0.013506272996733237,8.475307861907078,False,100,True,,,6,62,-6.716592266326481,0.1751808289991459,0.7965325999975903,0.9801197699998738
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,real_amplitudes,1,slsqp,100,137,-7.847066143661516,-7.848168124173495,CASCI,0.0011019805119785175,0.6915026890911276,True,365,True,,,6,62,-6.716592266326477,0.2507682760042371,2.304023855002015,2.561826156001189
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,real_amplitudes,1,spsa,100,137,-7.655368977102993,-7.848168124173495,CASCI,0.1927991470705015,120.98319997906333,False,200,True,,,6,62,-6.716592266326481,0.1765710870095063,1.1250966810039245,1.3076964049978415
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,real_amplitudes,2,cobyla,100,137,-7.8079443121316405,-7.848168124173495,CASCI,0.04022381204185432,25.240804070571965,False,100,True,,,6,62,-6.716592266326481,0.1711372309946455,0.8053547400049865,0.9837804999988293
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,real_amplitudes,2,slsqp,100,137,-7.848025535820699,-7.848168124173495,CASCI,0.0001425883527961247,0.08947547467474341,True,1408,True,,,6,62,-6.7165922663264785,0.17051641400030348,10.39460574000259,10.572470458995667
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,real_amplitudes,2,spsa,100,137,-7.837599551044253,-7.848168124173495,CASCI,0.010568573129241976,6.6318747557575035,False,200,True,,,6,62,-6.7165922663264785,0.29421038599684834,1.225511558004655,1.528868045003037
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,efficient_su2,1,cobyla,100,137,-7.69087935686043,-7.848168124173495,CASCI,0.15728876731306496,98.70011708785408,False,100,True,,,6,62,-6.716592266326483,0.171101133004413,0.841929752001306,1.022263901992119
LiH,sto-3g,dense_curve_config_search_sto3g,1.2638888888888888,jw,efficient_su2,1,slsqp,100,137,-7.847073360756062,-7.848168124173495,CASCI,0.0010947634174325316,0.6869738973096705,True,803,True,,,6,62,-6.716592266326483,0.17059659099322744,6.4661215050000465,6.645363291987451
