pauli,coef_real,coef_imag,abs_coef
IIIZII,0.29703980265212687,0.0,0.29703980265212687
ZIIIII,-0.29703980265212687,0.0,0.29703980265212687
ZZIIII,-0.2970398026521268,0.0,0.2970398026521268
IIIZZI,-0.2970398026521268,0.0,0.2970398026521268
IIIIZZ,-0.27639281923929243,0.0,0.27639281923929243
IZZIII,-0.27639281923929243,0.0,0.27639281923929243
IIZIIZ,-0.12182774168311006,0.0,0.12182774168311006
IIZIII,0.10253606417542478,0.0,0.10253606417542478
IIIIIZ,-0.10253606417542473,0.0,0.10253606417542473
IZZIZZ,0.08447056786924123,0.0,0.08447056786924123
ZZIZZI,0.0782363777898523,0.0,0.0782363777898523
ZIIZII,-0.07823637778985226,0.0,0.07823637778985226
ZZIIZZ,0.07049783620239124,0.0,0.07049783620239124
ZIIIZZ,0.07049783620239124,0.0,0.07049783620239124
IZZZZI,0.07049783620239124,0.0,0.07049783620239124
IZZZII,-0.07049783620239124,0.0,0.07049783620239124
ZZIZII,-0.06980180803300676,0.0,0.06980180803300676
ZIIZZI,0.06980180803300676,0.0,0.06980180803300676
ZZIIIZ,0.06754287309668536,0.0,0.06754287309668536
IIZZZI,-0.06754287309668536,0.0,0.06754287309668536
ZIIIIZ,0.06754287309668534,0.0,0.06754287309668534
IIZZII,0.06754287309668534,0.0,0.06754287309668534
IZZIIZ,0.055902511197652396,0.0,0.055902511197652396
IIZIZZ,-0.055902511197652396,0.0,0.055902511197652396
IIIIII,0.0557688918287869,0.0,0.0557688918287869
IIIIZI,-0.012948007852134368,0.0,0.012948007852134368
IZIIII,0.012948007852134368,0.0,0.012948007852134368
IIZIIX,-0.012144898067814904,0.0,0.012144898067814904
IIXIIZ,0.012144898067814904,0.0,0.012144898067814904
IZXIIZ,0.012144898067814904,0.0,0.012144898067814904
IIZIZX,0.012144898067814904,0.0,0.012144898067814904
IXIIXI,0.010319173905340368,0.0,0.010319173905340368
ZXZZXZ,0.010319173905340368,0.0,0.010319173905340368
IXIZXZ,-0.010319173905340368,0.0,0.010319173905340368
ZXZIXI,-0.010319173905340368,0.0,0.010319173905340368
YYIXXZ,-0.010319173905340363,0.0,0.010319173905340363
XXZXXZ,-0.010319173905340363,0.0,0.010319173905340363
XXZYYI,0.010319173905340363,0.0,0.010319173905340363
YYIYYI,0.010319173905340363,0.0,0.010319173905340363
IZXIII,0.010145003328393761,0.0,0.010145003328393761
IIXIII,0.010145003328393761,0.0,0.010145003328393761
IIIIZX,-0.010145003328393758,0.0,0.010145003328393758
IIIIIX,0.010145003328393758,0.0,0.010145003328393758
ZIXIII,0.006754695236053129,0.0,0.006754695236053129
ZZXIII,0.006754695236053129,0.0,0.006754695236053129
IIIZIX,-0.006754695236053129,0.0,0.006754695236053129
IIIZZX,0.006754695236053129,0.0,0.006754695236053129
YXYXXX,-0.005855668417384486,0.0,0.005855668417384486
IYYIYY,0.005855668417384486,0.0,0.005855668417384486
XXXYXY,-0.005855668417384486,0.0,0.005855668417384486
ZXXZXX,-0.005855668417384486,0.0,0.005855668417384486
IYYZXX,0.005855668417384486,0.0,0.005855668417384486
ZXXIYY,-0.005855668417384486,0.0,0.005855668417384486
YXYYXY,0.005855668417384486,0.0,0.005855668417384486
XXXXXX,0.005855668417384486,0.0,0.005855668417384486
IXIZXX,-0.004819223178379927,0.0,0.004819223178379927
ZXZZXX,0.004819223178379927,0.0,0.004819223178379927
ZXXZXZ,-0.004819223178379927,0.0,0.004819223178379927
IYYZXZ,0.004819223178379927,0.0,0.004819223178379927
ZXXIXI,0.004819223178379927,0.0,0.004819223178379927
IYYIXI,-0.004819223178379927,0.0,0.004819223178379927
IXIIYY,-0.004819223178379927,0.0,0.004819223178379927
ZXZIYY,0.004819223178379927,0.0,0.004819223178379927
YXYXXZ,-0.0048192231783799255,0.0,0.0048192231783799255
XXXYYI,-0.0048192231783799255,0.0,0.0048192231783799255
XXZXXX,-0.0048192231783799255,0.0,0.0048192231783799255
YYIXXX,-0.0048192231783799255,0.0,0.0048192231783799255
YXYYYI,0.0048192231783799255,0.0,0.0048192231783799255
XXZYXY,0.0048192231783799255,0.0,0.0048192231783799255
XXXXXZ,0.0048192231783799255,0.0,0.0048192231783799255
YYIYXY,0.0048192231783799255,0.0,0.0048192231783799255
XZIXZI,-0.004217284878422751,0.0,0.004217284878422751
XZIXII,-0.004217284878422751,0.0,0.004217284878422751
XIIXZI,0.004217284878422751,0.0,0.004217284878422751
XIIXII,0.004217284878422751,0.0,0.004217284878422751
IIXIIX,0.0032659958952027507,0.0,0.0032659958952027507
IZXIIX,0.0032659958952027507,0.0,0.0032659958952027507
IIXIZX,-0.0032659958952027507,0.0,0.0032659958952027507
IZXIZX,-0.0032659958952027507,0.0,0.0032659958952027507
IIXIZZ,-0.0018710430187566015,0.0,0.0018710430187566015
IZZIIX,-0.0018710430187566015,0.0,0.0018710430187566015
IZZIZX,0.0018710430187566015,0.0,0.0018710430187566015
IZXIZZ,-0.0018710430187566015,0.0,0.0018710430187566015
ZZZIII,-0.0015085423822499971,0.0,0.0015085423822499971
IIIZZZ,0.0015085423822499971,0.0,0.0015085423822499971
IIIZIZ,-0.0015085423822499902,0.0,0.0015085423822499902
ZIZIII,-0.0015085423822499902,0.0,0.0015085423822499902
IIXZZI,-0.0014418755603533625,0.0,0.0014418755603533625
IZXZZI,-0.0014418755603533625,0.0,0.0014418755603533625
ZZIIZX,0.0014418755603533625,0.0,0.0014418755603533625
ZZIIIX,-0.0014418755603533625,0.0,0.0014418755603533625
IZXZII,0.001441875560353361,0.0,0.001441875560353361
IIXZII,0.001441875560353361,0.0,0.001441875560353361
ZIIIZX,0.001441875560353361,0.0,0.001441875560353361
ZIIIIX,-0.001441875560353361,0.0,0.001441875560353361
