distance,energy,method,n_orbitals,n_electrons,timestamp
0.34375,-0.7698493714067813,FCI,2,2,1776779497.936894
0.3611111111111111,-0.82146404338532,FCI,2,2,1776779497.954923
0.3784722222222222,-0.8663768229948527,FCI,2,2,1776779497.975313
0.3958333333333333,-0.9055233445868995,FCI,2,2,1776779497.992171
0.4131944444444444,-0.9396806166829101,FCI,2,2,1776779498.0091069
0.4305555555555556,-0.9694985682008432,FCI,2,2,1776779498.026378
0.4479166666666667,-0.9955245114890896,FCI,2,2,1776779498.053492
0.4652777777777778,-1.018222320144488,FCI,2,2,1776779498.074365
0.4826388888888889,-1.0379876019857897,FCI,2,2,1776779498.177282
0.5,-1.0551597944706257,FCI,2,2,1776779498.212804
0.5173611111111112,-1.0700318654370282,FCI,2,2,1776779498.2310898
0.5347222222222222,-1.0828581304428724,FCI,2,2,1776779498.262756
0.5520833333333334,-1.0938605757275708,FCI,2,2,1776779498.279679
0.5694444444444444,-1.1032339874089896,FCI,2,2,1776779498.2981162
0.5868055555555556,-1.1111501225455815,FCI,2,2,1776779498.314683
0.6041666666666667,-1.1177611090905923,FCI,2,2,1776779498.332173
0.6215277777777778,-1.1232022247277968,FCI,2,2,1776779498.348405
0.6388888888888888,-1.1275941758051595,FCI,2,2,1776779498.365185
0.65625,-1.1310449748008782,FCI,2,2,1776779498.382303
0.6736111111111112,-1.1336514963965718,FCI,2,2,1776779498.4007092
0.6909722222222222,-1.1355007772141357,FCI,2,2,1776779498.417917
0.7083333333333334,-1.1366711118478197,FCI,2,2,1776779498.44156
0.7256944444444444,-1.1372329874715958,FCI,2,2,1776779498.4586549
0.7430555555555556,-1.13724989065647,FCI,2,2,1776779498.4778528
0.7604166666666667,-1.1367790128269968,FCI,2,2,1776779498.498666
0.7777777777777778,-1.1358718748196395,FCI,2,2,1776779498.515872
0.7951388888888888,-1.1345748861166038,FCI,2,2,1776779498.532414
0.8125,-1.132929850381883,FCI,2,2,1776779498.548151
0.8298611111111112,-1.1309744257979601,FCI,2,2,1776779498.564478
0.8472222222222222,-1.128742546284883,FCI,2,2,1776779498.580653
0.8645833333333334,-1.1262648078661381,FCI,2,2,1776779498.6041028
0.8819444444444444,-1.1235688231374552,FCI,2,2,1776779498.646537
0.8993055555555556,-1.120679545896428,FCI,2,2,1776779498.6667452
0.9166666666666667,-1.117619567423187,FCI,2,2,1776779498.684596
0.9340277777777778,-1.1144093855869035,FCI,2,2,1776779498.70052
0.951388888888889,-1.1110676478228751,FCI,2,2,1776779498.717725
0.96875,-1.1076113690244067,FCI,2,2,1776779498.73373
0.9861111111111112,-1.1040561254728218,FCI,2,2,1776779498.749862
1.0034722222222223,-1.1004162260518249,FCI,2,2,1776779498.765907
1.0208333333333335,-1.0967048621260458,FCI,2,2,1776779498.787491
1.0381944444444444,-1.0929342375893212,FCI,2,2,1776779498.80356
1.0555555555555556,-1.089115680691124,FCI,2,2,1776779498.8203342
1.0729166666666667,-1.0852597393153787,FCI,2,2,1776779498.8375401
1.0902777777777777,-1.08137626142011,FCI,2,2,1776779498.853657
1.1076388888888888,-1.077474462338741,FCI,2,2,1776779498.869941
1.125,-1.0735629806041143,FCI,2,2,1776779498.887081
1.1423611111111112,-1.0696499238843216,FCI,2,2,1776779498.9033668
1.1597222222222223,-1.0657429065238306,FCI,2,2,1776779498.919193
1.1770833333333335,-1.0618490800679754,FCI,2,2,1776779498.93519
1.1944444444444446,-1.057975158021057,FCI,2,2,1776779498.957739
1.2118055555555556,-1.054127435953474,FCI,2,2,1776779498.974282
1.2291666666666667,-1.0503118079366447,FCI,2,2,1776779498.9907
1.2465277777777777,-1.0465337801503187,FCI,2,2,1776779499.0073652
1.2638888888888888,-1.0427984823788539,FCI,2,2,1776779499.0245152
1.28125,-1.0391106779937485,FCI,2,2,1776779499.045811
1.2986111111111112,-1.035474772911187,FCI,2,2,1776779499.06605
1.3159722222222223,-1.0318948239166013,FCI,2,2,1776779499.086061
1.3333333333333335,-1.028374546663352,FCI,2,2,1776779499.104906
1.3506944444444444,-1.0249173235800364,FCI,2,2,1776779499.1311738
1.3680555555555556,-1.0215262118601371,FCI,2,2,1776779499.1487691
1.3854166666666667,-1.0182039516570303,FCI,2,2,1776779499.165011
1.402777777777778,-1.0149529745669694,FCI,2,2,1776779499.1827662
1.4201388888888888,-1.0117754124501097,FCI,2,2,1776779499.2005131
1.4375,-1.0086731066148893,FCI,2,2,1776779499.216779
1.4548611111111112,-1.0056476173720366,FCI,2,2,1776779499.2338428
1.4722222222222223,-1.0027002339503577,FCI,2,2,1776779499.251351
1.4895833333333335,-0.9998319847563704,FCI,2,2,1776779499.268213
1.5069444444444444,-0.9970436479525889,FCI,2,2,1776779499.2851121
1.5243055555555556,-0.9943357623241111,FCI,2,2,1776779499.312125
1.5416666666666667,-0.9917086383999798,FCI,2,2,1776779499.333059
1.559027777777778,-0.9891623697929641,FCI,2,2,1776779499.352428
1.5763888888888888,-0.9866968447198631,FCI,2,2,1776779499.375254
1.59375,-0.98431175766336,FCI,2,2,1776779499.400096
1.6111111111111112,-0.9820066211347085,FCI,2,2,1776779499.418614
1.6284722222222223,-0.9797807774964205,FCI,2,2,1776779499.439341
1.6458333333333335,-0.977633410802661,FCI,2,2,1776779499.458943
1.6631944444444444,-0.9755635586149289,FCI,2,2,1776779499.481652
1.6805555555555556,-0.9735701237498336,FCI,2,2,1776779499.498911
1.6979166666666667,-0.9716518859158426,FCI,2,2,1776779499.515925
1.715277777777778,-0.9698075131959174,FCI,2,2,1776779499.5328
1.7326388888888888,-0.9680355733334863,FCI,2,2,1776779499.550525
1.75,-0.96633454478031,FCI,2,2,1776779499.56724
1.7673611111111112,-0.964702827466069,FCI,2,2,1776779499.58421
1.7847222222222223,-0.9631387532515742,FCI,2,2,1776779499.600898
1.8020833333333335,-0.9616405960297841,FCI,2,2,1776779499.617387
1.8194444444444444,-0.9602065814418115,FCI,2,2,1776779499.633922
1.8368055555555556,-0.958834896178197,FCI,2,2,1776779499.661363
1.8541666666666667,-0.9575236968393539,FCI,2,2,1776779499.680442
1.871527777777778,-0.9562711183332135,FCI,2,2,1776779499.6989288
1.888888888888889,-0.9550752817917751,FCI,2,2,1776779499.715889
1.90625,-0.9539343019927089,FCI,2,2,1776779499.73198
1.9236111111111112,-0.9528462942765945,FCI,2,2,1776779499.749535
1.9409722222222223,-0.951809380954139,FCI,2,2,1776779499.766561
1.9583333333333335,-0.9508216972021333,FCI,2,2,1776779499.7825139
1.9756944444444444,-0.9498813964507832,FCI,2,2,1776779499.800203
1.9930555555555556,-0.9489866552686839,FCI,2,2,1776779499.82697
2.010416666666667,-0.9481356777551284,FCI,2,2,1776779499.84421
2.0277777777777777,-0.9473266994525114,FCI,2,2,1776779499.862369
2.0451388888888893,-0.9465579907943132,FCI,2,2,1776779499.8823318
2.0625,-0.9458278601066588,FCI,2,2,1776779499.899702
