molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,total_experiment_s
BeH2,sto-3g,presentation_range_curve_sto3g,1.2333333333333334,jw,puccsd,1,slsqp,100,137,-15.56450522626598,-15.564510712022052,CASCI,5.485756071621495e-06,0.0034423613067471326,True,371,True,,,8,61,-11.50848289273635,25.81410069699632
BeH2,sto-3g,presentation_range_curve_sto3g,1.2563131313131315,jw,puccsd,1,slsqp,100,137,-15.566378818390996,-15.566383321492896,CASCI,4.5031019002550465e-06,0.002825736970327144,True,398,True,,,8,61,-11.543842305298753,25.978276077003102
BeH2,sto-3g,presentation_range_curve_sto3g,1.2692307692307692,jw,puccsd,1,slsqp,100,137,-15.566983748001363,-15.566988251570027,CASCI,4.5035686646599515e-06,0.0028260298691921014,True,385,True,,,8,61,-11.563156927199401,26.20867955200083
BeH2,sto-3g,presentation_range_curve_sto3g,1.287878787878788,jw,puccsd,1,slsqp,100,137,-15.56732440833581,-15.567330200555595,CASCI,5.7922197846949075e-06,0.003634670044874117,True,371,True,,,8,61,-11.590356319673544,24.40781906200573
BeH2,sto-3g,presentation_range_curve_sto3g,1.3194444444444446,jw,puccsd,1,slsqp,100,137,-15.566580033624176,-15.566584682994463,CASCI,4.649370287879151e-06,0.002917521699976758,True,383,True,,,8,61,-11.634644332064575,24.889548820006894
BeH2,sto-3g,presentation_range_curve_sto3g,1.3510101010101012,jw,puccsd,1,slsqp,100,137,-15.564328756182034,-15.564332827516798,CASCI,4.071334764432777e-06,0.0025547992066944475,True,371,True,,,8,61,-11.676861503235573,23.523248670011526
BeH2,sto-3g,presentation_range_curve_sto3g,1.3615384615384616,jw,puccsd,1,slsqp,100,137,-15.563271524353745,-15.563275919996006,CASCI,4.395642260845989e-06,0.002758305079461206,True,383,True,,,8,61,-11.690506810201807,24.632305359991733
BeH2,sto-3g,presentation_range_curve_sto3g,1.3666666666666667,jw,puccsd,1,slsqp,100,137,-15.562705024734594,-15.562708859013268,CASCI,3.834278674119673e-06,0.002406044376518162,True,384,True,,,8,61,-11.697077006641434,29.059024898000644
BeH2,sto-3g,presentation_range_curve_sto3g,1.4076923076923078,jw,puccsd,1,slsqp,100,137,-15.557018731758983,-15.55702222319469,CASCI,3.4914357058823953e-06,0.002190907328362556,True,383,True,,,8,61,-11.747913068786847,29.145911992993206
BeH2,sto-3g,presentation_range_curve_sto3g,1.414141414141414,jw,puccsd,1,slsqp,100,137,-15.555951157683076,-15.555953984186289,CASCI,2.8265032128160783e-06,0.0017736562045710044,True,383,True,,,8,61,-11.755635684367892,26.58035173699318
