molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,real_amplitudes,1,cobyla,100,137,-13.521876576837009,-13.667143209581804,CASCI,0.14526663274479468,91.15611944705337,False,100,True,,,8,61,-8.661255831973518,0.17392065598687623,0.7898734779882943,0.97110832099861
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,real_amplitudes,1,slsqp,100,137,-13.646139590234625,-13.667143209581804,CASCI,0.021003619347178315,13.179960172928517,False,752,True,,,8,61,-8.661255831973524,0.1747448080132017,6.179929362013354,6.3618422690051375
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,real_amplitudes,1,spsa,100,137,-13.512169629477722,-13.667143209581804,CASCI,0.15497358010408213,97.24731627753248,False,200,True,,,8,61,-8.661255831973522,0.7176681870041648,1.2882548649940873,2.0548128869995708
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,real_amplitudes,2,cobyla,100,137,-13.460476774234856,-13.667143209581804,CASCI,0.20666643534694806,129.68504817812803,False,100,True,,,8,61,-8.661255831973522,0.16065382200758904,0.7539907620084705,0.9228454929980217
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,real_amplitudes,2,slsqp,100,137,-13.657204994099994,-13.667143209581804,CASCI,0.009938215481810175,6.236319658775222,False,1728,True,,,8,61,-8.661255831973518,0.16534225799841806,12.220692072995007,12.394258738990175
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,real_amplitudes,2,spsa,100,137,-13.581088547525377,-13.667143209581804,CASCI,0.08605466205642642,54.00007493236609,False,200,True,,,8,61,-8.661255831973515,0.32933219301048666,1.2468305009970209,1.586320075992262
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,efficient_su2,1,cobyla,100,137,-13.409514927984636,-13.667143209581804,CASCI,0.25762828159716733,161.66406535675688,False,100,True,,,8,61,-8.661255831973513,0.1661681269906694,0.8841007390001323,1.0606790599995293
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,efficient_su2,1,slsqp,100,137,-13.646139955489001,-13.667143209581804,CASCI,0.021003254092802237,13.17973097252024,False,1453,True,,,8,61,-8.661255831973524,0.1679695609927876,11.348163700997247,11.527062128996477
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,efficient_su2,1,spsa,100,137,-13.247765110151118,-13.667143209581804,CASCI,0.41937809943068594,263.16353179565033,False,200,True,,,8,61,-8.661255831973525,0.2475617399904877,1.4154381520056631,1.6769471820007311
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,efficient_su2,2,cobyla,100,137,-13.214460173726064,-13.667143209581804,CASCI,0.4526830358557401,284.0626791467996,False,100,True,,,8,61,-8.661255831973529,0.17708689699065872,0.9644457260001218,1.156795038987184
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,efficient_su2,2,slsqp,100,137,-13.65718810754409,-13.667143209581804,CASCI,0.009955102037713104,6.246916124583312,False,3774,True,,,8,61,-8.661255831973525,0.17692348500713706,31.650258633992053,31.842525144995307
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,efficient_su2,2,spsa,100,137,-13.360531086780602,-13.667143209581804,CASCI,0.30661212280120154,192.40186656685918,False,200,True,,,8,61,-8.661255831973529,0.29377904899592977,1.6337460280046798,1.9485738490038784
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,uccsd,1,cobyla,100,137,-13.64709990207592,-13.667143209581804,CASCI,0.020043307505883234,12.577355849709283,False,100,True,,,8,61,-8.66125583197353,0.1592015479982365,18.72525789499923,19.78313636900566
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,uccsd,1,slsqp,100,137,-13.657212020200141,-13.667143209581804,CASCI,0.009931189381662264,6.231910717697506,False,543,True,,,8,61,-8.661255831973522,0.17292146298859734,101.7922264259978,104.08945531699283
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,uccsd,1,spsa,100,137,-13.652222109472799,-13.667143209581804,CASCI,0.014921100109004826,9.36312460830151,False,200,True,,,8,61,-8.661255831973516,0.30833504899055697,46.52243613699102,48.227293898002245
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,puccsd,1,cobyla,100,137,-13.66704585778243,-13.667143209581804,CASCI,9.735179937386818e-05,0.06108913027329665,True,100,True,,,8,61,-8.661255831973525,0.17787943000439554,7.435093754000263,7.899831290997099
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,puccsd,1,slsqp,100,137,-13.667084134995012,-13.667143209581804,CASCI,5.90745867921072e-05,0.0370698348833284,True,119,True,,,8,61,-8.661255831973518,0.18617052599438466,7.451063473010436,7.918085600991617
BeH2,sto-3g,dense_curve_config_search_sto3g,0.5,jw,puccsd,1,spsa,100,137,-13.66548786053177,-13.667143209581804,CASCI,0.0016553490500346157,1.0387464270381717,False,200,True,,,8,61,-8.661255831973525,0.18293504099710844,15.58992431400111,16.06206209299853
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,real_amplitudes,1,cobyla,100,137,-15.28056844011829,-15.425201817554717,CASCI,0.1446333774364259,90.75874604175418,False,100,True,,,8,61,-10.96245008969846,0.17034281100495718,0.8162055920111015,0.9943783469934715
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,real_amplitudes,1,slsqp,100,137,-15.417716846075137,-15.425201817554717,CASCI,0.007484971479579272,4.696886968179309,False,938,True,,,8,61,-10.96245008969846,0.16829478400177322,6.4554184730077395,6.631503953001811
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,real_amplitudes,1,spsa,100,137,-15.293340584433125,-15.425201817554717,CASCI,0.13186123312159204,82.7441105348971,False,200,True,,,8,61,-10.962450089698462,0.2776101670024218,1.2635279189998982,1.5550129569892306
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,real_amplitudes,2,cobyla,100,137,-15.227407671646706,-15.425201817554717,CASCI,0.19779414590801103,124.1176067045901,False,100,True,,,8,61,-10.96245008969846,0.2826982099941233,0.860168105995399,1.1558492990006926
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,real_amplitudes,2,slsqp,100,137,-15.417720266858392,-15.425201817554717,CASCI,0.0074815506963243905,4.694740395899822,False,825,True,,,8,61,-10.962450089698455,0.18174645300314296,9.04779318299552,9.239721810008632
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,real_amplitudes,2,spsa,100,137,-15.272900744988842,-15.425201817554717,CASCI,0.15230107256587466,95.57029374473944,False,200,True,,,8,61,-10.962450089698454,0.4838476360018831,2.2076958359975833,2.7151738289976493
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,efficient_su2,1,cobyla,100,137,-14.725062812402047,-15.425201817554717,CASCI,0.7001390051526695,439.34352698434645,False,100,True,,,8,61,-10.96245008969846,0.349737617012579,1.4523703290033154,1.8285081669891952
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,efficient_su2,1,slsqp,100,137,-15.41771608261952,-15.425201817554717,CASCI,0.00748573493519622,4.697366043450045,False,1158,True,,,8,61,-10.96245008969846,0.4097420059988508,17.11566098399635,17.54791659199691
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,efficient_su2,1,spsa,100,137,-14.85688001098555,-15.425201817554717,CASCI,0.5683218065691662,356.6270485184109,False,200,True,,,8,61,-10.962450089698459,0.4938224729994545,4.728377321996959,5.271557730011409
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,efficient_su2,2,cobyla,100,137,-14.948383498562707,-15.425201817554717,CASCI,0.47681831899200944,299.20778653235686,False,100,True,,,8,61,-10.962450089698454,0.44591650700022,1.698621338000521,2.1982906269986415
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,efficient_su2,2,slsqp,100,137,-15.417723596347113,-15.425201817554717,CASCI,0.007478221207604108,4.692651111762446,False,1274,True,,,8,61,-10.962450089698457,0.49317914100538474,18.03081983899756,18.572212456012494
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,efficient_su2,2,spsa,100,137,-15.257558781675467,-15.425201817554717,CASCI,0.16764303587924978,105.19751380155215,False,200,True,,,8,61,-10.962450089698454,0.49080845099524595,3.076051632000599,3.624342355004046
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,uccsd,1,cobyla,100,137,-15.413686363274707,-15.425201817554717,CASCI,0.011515454280010218,7.226051199794932,False,100,True,,,8,61,-10.962450089698454,0.463788000997738,35.18783980399894,39.92649679799797
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,uccsd,1,slsqp,100,137,-15.417902482002402,-15.425201817554717,CASCI,0.007299335552314545,4.580398753097348,False,381,True,,,8,61,-10.962450089698454,0.42764485799125396,130.35396812799445,138.74081477300206
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,uccsd,1,spsa,100,137,-15.417370042978376,-15.425201817554717,CASCI,0.007831774576340322,4.914509032624739,False,200,True,,,8,61,-10.962450089698457,0.4781147059984505,60.06226236499788,62.97614955199242
BeH2,sto-3g,dense_curve_config_search_sto3g,0.9615384615384616,jw,puccsd,1,cobyla,100,137,-15.42367428767253,-15.425201817554717,CASCI,0.0015275298821872951,0.9585387488414674,True,100,True,,,8,61,-10.962450089698452,0.19036711199441925,7.519856169004925,8.016211412003031
