molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
BeH2,statevector,,,,sto-3g,0.5,jw,real_amplitudes,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.521876576837013,-13.667143209581802,CASCI,-13.667143209581802,0.14526663274478935,91.15611944705002,False,-4.860620744863486,100,True,,,8,61,-8.661255831973525,0.4308532630002446,1.5521689459992558,1.9930801149994295
BeH2,statevector,,,,sto-3g,0.5,jw,real_amplitudes,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.460635728580723,-13.667143209581802,CASCI,-13.667143209581802,0.20650748100107919,129.5853028955062,False,-4.7993798966071886,919,True,,,8,61,-8.661255831973534,0.4791988879997007,10.03562752200014,10.517597088999537
BeH2,statevector,,,,sto-3g,0.5,jw,real_amplitudes,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.453005372311,-13.667143209581802,CASCI,-13.667143209581802,0.21413783727080116,134.37342012796316,False,-4.791749540337492,200,True,,,8,61,-8.661255831973508,0.38886847699995997,2.1130729170008635,2.50478457600002
BeH2,statevector,,,,sto-3g,0.5,jw,real_amplitudes,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.460476774234857,-13.667143209581802,CASCI,-13.667143209581802,0.2066664353469445,129.6850481781258,False,-4.79922094226135,100,True,,,8,61,-8.661255831973508,0.3784119149995604,1.3591702859994257,1.742216455999369
BeH2,statevector,,,,sto-3g,0.5,jw,real_amplitudes,2,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.646138920085365,-13.667143209581802,CASCI,-13.667143209581802,0.021004289496437067,13.180380697619729,False,-4.984883088111836,1629,True,,,8,61,-8.661255831973529,0.3827719259998048,20.701915674000702,21.08753475499998
BeH2,statevector,,,,sto-3g,0.5,jw,real_amplitudes,2,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.492225726547945,-13.667143209581802,CASCI,-13.667143209581802,0.17491748303385712,109.76229486109266,False,-4.830969894574437,200,True,,,8,61,-8.661255831973508,0.3334110679998048,2.424379047999537,2.7604006759993354
BeH2,statevector,,,,sto-3g,0.5,jw,efficient_su2,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.409514927984524,-13.667143209581802,CASCI,-13.667143209581802,0.25762828159727746,161.664065356826,False,-4.748259096011002,100,True,,,8,61,-8.661255831973522,0.3835746750000908,1.424169670000083,1.8107381939998959
BeH2,statevector,,,,sto-3g,0.5,jw,efficient_su2,1,slsqp,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.6461397022752,-13.667143209581802,CASCI,-13.667143209581802,0.021003507306602387,13.179889866458758,False,-4.984883870301675,1421,True,,,8,61,-8.661255831973524,0.3976607819995479,19.66971251399991,20.07050148899998
BeH2,statevector,,,,sto-3g,0.5,jw,efficient_su2,1,spsa,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.324020723700187,-13.667143209581802,CASCI,-13.667143209581802,0.3431224858816151,215.3124479930864,False,-4.662764891726668,200,True,,,8,61,-8.66125583197352,0.4289368649997414,2.500690079999913,2.9325327400001697
BeH2,statevector,,,,sto-3g,0.5,jw,efficient_su2,2,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-13.214460173726053,-13.667143209581802,CASCI,-13.667143209581802,0.452683035855749,284.0626791468052,False,-4.553204341752537,100,True,,,8,61,-8.661255831973515,0.44170530199971836,1.70981717199993,2.154798770000525
