distance,atom,molecule,basis,active_space,active_orbitals,freeze_core,mapper,z2,use_num_particles,num_qubits,num_terms,constant_energy,ref_energy,full_fci_energy,exact_total_energy,vqe_total_energy,exact_vs_ref_abs_error,vqe_vs_exact_abs_error,vqe_vs_ref_abs_error,exact_vs_full_fci_abs_error,vqe_vs_full_fci_abs_error,active_vs_full_fci_abs_error,eval_count,ansatz_name,ansatz_reps,optimizer,optimizer_max_iter,seed,status
0.5,Be 0 0 0; H 0 0 0.5; H 0 0 -0.5,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-8.661255831973536,-13.667143209581804,-13.689960305740952,-13.667143209581791,-13.666927176343375,1.2434497875801753e-14,0.0002160332384164576,0.0002160332384288921,0.0228170961591605,0.023033129397576957,0.022817096159148065,400,real_amplitudes,2,cobyla,400,137,ok
0.6538461538461539,Be 0 0 0; H 0 0 0.6538461538461539; H 0 0 -0.6538461538461539,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-9.79860676286199,-14.661808505536197,-14.68093788348607,-14.661808505536193,-14.661663666571798,3.552713678800501e-15,0.00014483896439543287,0.00014483896439898558,0.019129377949877124,0.019274216914272557,0.01912937794987357,400,real_amplitudes,2,cobyla,400,137,ok
0.8076923076923077,Be 0 0 0; H 0 0 0.8076923076923077; H 0 0 -0.8076923076923077,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-10.491474224863452,-15.173426007815937,-15.190877705048408,-15.173426007815923,-14.565042582571532,1.4210854715202004e-14,0.6083834252443907,0.6083834252444049,0.01745169723248452,0.6258351224768752,0.01745169723247031,400,real_amplitudes,2,cobyla,400,137,ok
0.9615384615384616,Be 0 0 0; H 0 0 0.9615384615384616; H 0 0 -0.9615384615384616,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-10.962450089698478,-15.425201817554715,-15.443491944235694,-15.425201817554727,-15.418748539864296,1.2434497875801753e-14,0.006453277690431136,0.006453277690418702,0.018290126680966523,0.02474340437139766,0.018290126680978958,400,real_amplitudes,2,cobyla,400,137,ok
1.1153846153846154,Be 0 0 0; H 0 0 1.1153846153846154; H 0 0 -1.1153846153846154,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-11.304095864764449,-15.535361074322575,-15.556771868491062,-15.535361074322566,-15.52949280784134,8.881784197001252e-15,0.005868266481225959,0.005868266481234841,0.021410794168495784,0.027279060649721742,0.021410794168486902,400,real_amplitudes,2,cobyla,400,137,ok
1.2692307692307692,Be 0 0 0; H 0 0 1.2692307692307692; H 0 0 -1.2692307692307692,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-11.563156927199405,-15.566988251570027,-15.59353618128814,-15.56698825157001,-15.56105416108256,1.7763568394002505e-14,0.005934090487450305,0.005934090487468069,0.026547929718130803,0.03248202020558111,0.02654792971811304,400,real_amplitudes,2,cobyla,400,137,ok
1.4230769230769231,Be 0 0 0; H 0 0 1.4230769230769231; H 0 0 -1.4230769230769231,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-11.766219836467926,-15.554400936225463,-15.588122087248362,-15.554400936225477,-15.549139501847277,1.4210854715202004e-14,0.005261434378200036,0.005261434378185825,0.033721151022884754,0.03898258540108479,0.033721151022898965,400,real_amplitudes,2,cobyla,400,137,ok
1.576923076923077,Be 0 0 0; H 0 0 1.576923076923077; H 0 0 -1.576923076923077,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-11.92960772183234,-15.5167964630396,-15.560014512416934,-15.516796463039585,-15.512188243494851,1.5987211554602254e-14,0.004608219544733672,0.004608219544749659,0.04321804937734974,0.047826268922083415,0.043218049377333756,400,real_amplitudes,2,cobyla,400,137,ok
1.7307692307692308,Be 0 0 0; H 0 0 1.7307692307692308; H 0 0 -1.7307692307692308,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-12.063895014161197,-15.465289494791417,-15.520777747794934,-15.46528949479142,-15.460500766791956,3.552713678800501e-15,0.004788727999464726,0.004788727999461173,0.05548825300351368,0.0602769810029784,0.05548825300351723,400,real_amplitudes,2,cobyla,400,137,ok
1.8846153846153846,Be 0 0 0; H 0 0 1.8846153846153846; H 0 0 -1.8846153846153846,BeH2,sto-3g,"(4, 4)","[0, 1, 2, 3]",True,parity,True,True,3,20,-12.176219511090167,-15.406680248809781,-15.477754206538314,-15.406680248809778,-15.40098597864722,3.552713678800501e-15,0.005694270162557302,0.005694270162560855,0.07107395772853664,0.07676822789109394,0.07107395772853309,400,real_amplitudes,2,cobyla,400,137,ok
