molecule,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
Li2O_linear,6-31g,1.2,jw,real_amplitudes,1,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.5087522681514,-89.50895084298139,CASCI,-89.50895084298139,0.00019857482999441345,0.12460749299496439,True,-21.31466309346775,250,True,,8,61,-68.19408917468365,0.5545826429879526,2.139542763994541,2.6959335150022525
Li2O_linear,6-31g,1.2,jw,real_amplitudes,1,slsqp,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.33428346830193,-89.50895084298139,CASCI,-89.50895084298139,0.17466737467945848,109.60534961773232,False,-21.140194293618297,428,True,,8,61,-68.19408917468364,0.5883532870066119,2.9466884690045845,3.536888578993967
Li2O_linear,6-31g,1.2,jw,real_amplitudes,2,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.5071803407339,-89.50895084298139,CASCI,-89.50895084298139,0.0017705022474956422,1.111006094823743,False,-21.313091166050263,250,True,,8,61,-68.19408917468363,0.4855784899991704,2.2845579739951063,2.771913434000453
Li2O_linear,6-31g,1.2,jw,real_amplitudes,2,slsqp,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.15960080151328,-89.50895084298139,CASCI,-89.50895084298139,0.34935004146811366,219.22029517161454,False,-20.965511626829624,475,True,,8,61,-68.19408917468365,0.4541746629984118,3.675817030001781,4.131813578002038
Li2O_linear,6-31g,1.2,jw,efficient_su2,1,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.44527402780332,-89.50895084298139,CASCI,-89.50895084298139,0.06367681517807,39.95777461557553,False,-21.2511848531197,250,True,,8,61,-68.19408917468363,0.505846645013662,2.3432575260085287,2.851106432004599
Li2O_linear,6-31g,1.2,jw,efficient_su2,1,slsqp,250,137,"[4, 4]","[0, 1, 2, 3]",True,-88.98485020895205,-89.50895084298139,CASCI,-89.50895084298139,0.5241006340293382,328.87786475911594,False,-20.790761034268392,1257,True,,8,61,-68.19408917468365,0.43567134300246835,9.786778887006221,10.224335817008978
Li2O_linear,6-31g,1.2,jw,efficient_su2,2,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.16572148023249,-89.50895084298139,CASCI,-89.50895084298139,0.34322936274890026,215.37951418919965,False,-20.971632305548887,250,True,,8,61,-68.1940891746836,0.5527978959871689,2.6178985800070222,3.173032407008577
Li2O_linear,6-31g,1.2,jw,efficient_su2,2,slsqp,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.5089444667826,-89.50895084298139,CASCI,-89.50895084298139,6.376198797397592e-06,0.004001122131156166,True,-21.314855292098976,1618,True,,8,61,-68.19408917468363,0.45181032600521576,14.711732733994722,15.165791840001475
Li2O_linear,6-31g,1.5,jw,real_amplitudes,1,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.7508853923327,-89.75092203081448,CASCI,-89.75092203081448,3.6638481773820786e-05,0.02299097705940851,True,-20.574916311510282,250,True,,8,61,-69.17596908082243,0.5087555140053155,2.043025477993069,2.553642292987206
Li2O_linear,6-31g,1.5,jw,real_amplitudes,1,slsqp,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.60742637492208,-89.75092203081448,CASCI,-89.75092203081448,0.14349565589239432,90.04481553338047,False,-20.431457294099616,392,True,,8,61,-69.17596908082247,0.46453490501153283,2.585061788005987,3.0526097560068592
Li2O_linear,6-31g,1.5,jw,real_amplitudes,2,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.74114760249375,-89.75092203081448,CASCI,-89.75092203081448,0.009774428320724837,6.133541741109722,False,-20.56517852167128,250,True,,8,61,-69.17596908082247,0.4653420050017303,2.2182979849894764,2.6853080750006484
Li2O_linear,6-31g,1.5,jw,real_amplitudes,2,slsqp,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.43592149580635,-89.75092203081448,CASCI,-89.75092203081448,0.3150005350081244,197.66567072241315,False,-20.25995241498394,425,True,,8,61,-69.17596908082241,0.4443281889980426,3.208556530997157,3.6543885990104172
Li2O_linear,6-31g,1.5,jw,efficient_su2,1,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.64147071137766,-89.75092203081448,CASCI,-89.75092203081448,0.10945131943681474,68.68168800847619,False,-20.46550163055522,250,True,,8,61,-69.17596908082244,0.5399215320067015,2.3572046339977533,2.900123754006927
Li2O_linear,6-31g,1.5,jw,efficient_su2,1,slsqp,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.75091309841726,-89.75092203081448,CASCI,-89.75092203081448,8.932397221883548e-06,0.005605159648306923,True,-20.574944017594785,1426,True,,8,61,-69.17596908082247,0.47658280401083175,11.354106076993048,11.832601595990127
Li2O_linear,6-31g,1.5,jw,efficient_su2,2,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.3145569552739,-89.75092203081448,CASCI,-89.75092203081448,0.4363650755405786,273.8230121873929,False,-20.138587874451467,250,True,,8,61,-69.17596908082244,0.5263316320051672,2.6852969390020007,3.2138733960018726
Li2O_linear,6-31g,1.5,jw,efficient_su2,2,slsqp,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.75091274252406,-89.75092203081448,CASCI,-89.75092203081448,9.288290414133371e-06,0.005828485829482418,True,-20.574943661701635,1326,True,,8,61,-69.17596908082243,0.4705307229887694,11.929722010987462,12.402377350008464
Li2O_linear,6-31g,1.8,jw,real_amplitudes,1,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.7428932102784,-89.74373582689469,CASCI,-89.74373582689469,0.0008426166162962545,0.5287495102754464,True,-19.848461928626342,250,True,,8,61,-69.89443128165205,0.4934883389942115,2.045545465996838,2.5405800139997154
Li2O_linear,6-31g,1.8,jw,real_amplitudes,1,slsqp,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.6208583271943,-89.74373582689469,CASCI,-89.74373582689469,0.12287749970039386,77.10673695949446,False,-19.726427045542287,427,True,,8,61,-69.894431281652,0.569835198999499,2.8486816859949613,3.4200416530075017
Li2O_linear,6-31g,1.8,jw,real_amplitudes,2,cobyla,250,137,"[4, 4]","[0, 1, 2, 3]",True,-89.738244445688,-89.74373582689469,CASCI,-89.74373582689469,0.005491381206695678,3.445891129632398,False,-19.843813164035986,250,True,,8,61,-69.89443128165202,0.47328958599246107,2.192409408991807,2.6673114269942744
