molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,efficient_su2,2,slsqp,100,137,-0.769848658677392,-0.7698493714067813,FCI,7.127293892850162e-07,0.00044724410634085123,True,927,True,,,4,15,1.5394246135854546,0.06647324800724164,4.305210467005963,4.380958158988506
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,efficient_su2,2,spsa,100,137,-0.7467669881231542,-0.7698493714067813,FCI,0.023082383283627106,14.484403251925562,False,200,True,,,4,15,1.5394246135854546,0.12481836600636598,0.798328524993849,0.9318729580118088
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,uccsd,1,cobyla,100,137,-0.7698493640619775,-0.7698493714067813,FCI,7.344803876208061e-09,4.608930535555445e-06,True,65,True,,,4,15,1.5394246135854546,0.07747280299372505,0.8541476189857349,0.9698593369976152
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,uccsd,1,slsqp,100,137,-0.7698493158617465,-0.7698493714067813,FCI,5.554503479388018e-08,3.4855009238472953e-05,True,58,True,,,4,15,1.5394246135854546,0.06667939199542161,0.6614491619984619,0.7588243480131496
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,uccsd,1,spsa,100,137,-0.7697983875846968,-0.7698493714067813,FCI,5.098382208457153e-05,0.031992807212467396,True,200,True,,,4,15,1.5394246135854546,0.06392753800901119,2.4226535610068822,2.5178159759962
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,puccsd,1,cobyla,100,137,-0.7698493641309538,-0.7698493714067813,FCI,7.27582749604494e-09,4.5656472362156645e-06,True,41,True,,,4,15,1.5394246135854546,0.14472088300681207,0.545460474997526,0.7325597239978379
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,puccsd,1,slsqp,100,137,-0.7698492302080726,-0.7698493714067813,FCI,1.4119870872519868e-07,8.86034605134407e-05,True,24,True,,,4,15,1.5394246135854546,0.06291333101398777,0.29357008000079077,0.38610382500337437
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,puccsd,1,spsa,100,137,-0.7690470365616917,-0.7698493714067813,FCI,0.000802334845089625,0.5034723363073456,True,200,True,,,4,15,1.5394246135854546,0.06425661900721025,2.5239822969888337,2.6201661009981763
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,real_amplitudes,1,cobyla,100,137,-1.0801322555292292,-1.0938605757275708,FCI,0.013728320198341581,8.614644479341127,False,100,True,,,4,15,0.9585096650626416,0.1171504840021953,0.5171081129956292,0.6419231010077056
H2,sto-3g,dense_curve_config_search_sto3g,0.5520833333333334,jw,real_amplitudes,1,slsqp,100,137,-1.080218603961594,-1.0938605757275708,FCI,0.013641971765976812,8.560460060896343,False,126,True,,,4,15,0.9585096650626416,0.06549321000056807,0.4239654089906253,0.4949059250066057
