molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,total_experiment_s
H2,sto-3g,presentation_range_curve_sto3g,0.34375,jw,puccsd,1,cobyla,100,137,-0.7698493626657539,-0.7698493714067813,FCI,8.741027457404016e-09,5.4850733987681366e-06,True,42,True,,,4,15,1.5394246135854546,0.8337740559945814
H2,sto-3g,presentation_range_curve_sto3g,0.5347222222222222,jw,puccsd,1,cobyla,100,137,-1.082858125431828,-1.0828581304428724,FCI,5.011044468261616e-09,3.1444755032343786e-06,True,46,True,,,4,15,0.9896301087335065,0.6623335979966214
H2,sto-3g,presentation_range_curve_sto3g,0.7256944444444444,jw,puccsd,1,cobyla,100,137,-1.1372329859916122,-1.1372329874715958,FCI,1.4799836911549846e-09,9.287030860529733e-07,True,42,True,,,4,15,0.7292011327510048,0.6061803009943105
H2,sto-3g,presentation_range_curve_sto3g,0.9166666666666669,jw,puccsd,1,cobyla,100,137,-1.1176195672450078,-1.117619567423187,FCI,1.7817924913288152e-10,1.1180908244412535e-07,True,41,True,,,4,15,0.5772842300945454,1.3680353859963361
H2,sto-3g,presentation_range_curve_sto3g,1.1076388888888888,jw,puccsd,1,cobyla,100,137,-1.0774744585637839,-1.077474462338741,FCI,3.77495701364694e-09,2.368819500676578e-06,True,41,True,,,4,15,0.4777524662851412,1.2428690020024078
H2,sto-3g,presentation_range_curve_sto3g,1.2986111111111112,jw,puccsd,1,cobyla,100,137,-1.0354747701738973,-1.035474772911187,FCI,2.7372897282162967e-09,1.7176739400632801e-06,True,41,True,,,4,15,0.40749475065497326,0.7637699879996944
H2,sto-3g,presentation_range_curve_sto3g,1.4895833333333337,jw,puccsd,1,cobyla,100,137,-0.9998319832414955,-0.9998319847563704,FCI,1.5148748921944843e-09,9.505976287260687e-07,True,44,True,,,4,15,0.3552518339043356,0.7476227760053007
H2,sto-3g,presentation_range_curve_sto3g,1.6805555555555556,jw,puccsd,1,cobyla,100,137,-0.9735701226526051,-0.9735701237498336,FCI,1.0972285302557339e-09,6.885207777922453e-07,True,40,True,,,4,15,0.31488230732429756,0.7177495280047879
H2,sto-3g,presentation_range_curve_sto3g,1.871527777777778,jw,puccsd,1,cobyla,100,137,-0.9562711181567758,-0.9562711183332137,FCI,1.7643786431875697e-10,1.1071634780079887e-07,True,39,True,,,4,15,0.2827514596381447,0.6196440439962316
H2,sto-3g,presentation_range_curve_sto3g,2.0625,jw,puccsd,1,cobyla,100,137,-0.9458278560005835,-0.9458278601066588,FCI,4.106075257581665e-09,2.5765991788098133e-06,True,41,True,,,4,15,0.25657076893090913,0.6496119329967769
