molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
H2,statevector_physical_ansatz,,,,sto-3g,0.9,jw,puccsd,1,cobyla,250,137,null,null,False,-1.1205602780169925,-1.1205602812999882,FCI,-1.1205602812999882,3.2829956531088555e-09,2.060109319286685e-06,True,-1.7085349568169925,45,True,,4,15,0.5879746788,0.13052972700097598,1.8794174020003993,2.0181582660006825
H2,statevector_physical_ansatz,,,,sto-3g,0.9,jw,puccsd,1,slsqp,250,137,null,null,False,-1.1205602808691404,-1.1205602812999882,FCI,-1.1205602812999882,4.308478018799633e-10,2.7036087330989387e-07,True,-1.7085349596691404,24,True,,4,15,0.5879746788,0.28705252599320374,0.907474979001563,1.2063648509938503
H2,statevector_physical_ansatz,,,,sto-3g,1.1,jw,uccsd,1,cobyla,250,137,null,null,False,-1.0791929424607551,-1.0791929449690747,FCI,-1.0791929449690747,2.5083195520636536e-09,1.5739930937959113e-06,True,-1.5602631342062097,109,True,,4,15,0.4810701917454545,0.16539862399804406,5.462396261995309,5.650867431002553
H2,statevector_physical_ansatz,,,,sto-3g,1.1,jw,uccsd,1,slsqp,250,137,null,null,False,-1.0791929304502919,-1.0791929449690747,FCI,-1.0791929449690747,1.4518782842642963e-08,9.110666902804044e-06,True,-1.5602631221957464,43,True,,4,15,0.4810701917454545,0.16059497400419787,1.9730456629913533,2.143071811995469
H2,statevector_physical_ansatz,,,,sto-3g,1.1,jw,puccsd,1,cobyla,250,137,null,null,False,-1.0791929423850324,-1.0791929449690747,FCI,-1.0791929449690747,2.5840423134582124e-09,1.6215098080758495e-06,True,-1.560263134130487,37,True,,4,15,0.4810701917454545,0.19631623999157455,1.346012209993205,1.55095148300461
H2,statevector_physical_ansatz,,,,sto-3g,1.1,jw,puccsd,1,slsqp,250,137,null,null,False,-1.0791929350138323,-1.0791929449690747,FCI,-1.0791929449690747,9.955242408210552e-09,6.247004208333795e-06,True,-1.5602631267592868,23,True,,4,15,0.4810701917454545,0.12693573099386413,0.8204119750007521,0.9549582790059503
H2,statevector_physical_ansatz,,,,sto-3g,1.4,jw,uccsd,1,cobyla,250,137,null,null,False,-1.0154682430493047,-1.015468249288245,FCI,-1.015468249288245,6.238940253311398e-09,3.914991159415182e-06,True,-1.393451965135019,89,True,,4,15,0.37798372208571435,0.1786871410004096,4.398774907996994,4.586787567997817
H2,statevector_physical_ansatz,,,,sto-3g,1.4,jw,uccsd,1,slsqp,250,137,null,null,False,-1.0154678439020262,-1.015468249288245,FCI,-1.015468249288245,4.053862188158064e-07,0.0002543835007828879,True,-1.3934515659877404,52,True,,4,15,0.37798372208571435,0.32108440800220706,2.339732926004217,2.668989801997668
H2,statevector_physical_ansatz,,,,sto-3g,1.4,jw,puccsd,1,cobyla,250,137,null,null,False,-1.015468243885901,-1.015468249288245,FCI,-1.015468249288245,5.402343905558382e-09,3.390019421833035e-06,True,-1.3934519659716154,36,True,,4,15,0.37798372208571435,0.1276852390001295,1.324317478996818,1.459810328000458
H2,statevector_physical_ansatz,,,,sto-3g,1.4,jw,puccsd,1,slsqp,250,137,null,null,False,-1.015468235271497,-1.015468249288245,FCI,-1.015468249288245,1.4016747984513245e-08,8.795635511013922e-06,True,-1.3934519573572113,19,True,,4,15,0.37798372208571435,0.1387477139942348,0.6503349970007548,0.796945488997153
H2,statevector_physical_ansatz,,,,sto-3g,1.8,jw,uccsd,1,cobyla,250,137,null,null,False,-0.9618169237589121,-0.9618169527925803,FCI,-0.9618169527925803,2.9033668136335677e-08,1.8218888058563865e-05,True,-1.2558042631589121,125,True,,4,15,0.2939873394,0.13758753599540796,6.174617256998317,6.321655562001979
H2,statevector_physical_ansatz,,,,sto-3g,1.8,jw,uccsd,1,slsqp,250,137,null,null,False,-0.9618168501628773,-0.9618169527925803,FCI,-0.9618169527925803,1.026297029582679e-07,6.440106227363973e-05,True,-1.2558041895628773,87,True,,4,15,0.2939873394,0.15190956799779087,3.9502601319982205,4.111135223007295
H2,statevector_physical_ansatz,,,,sto-3g,1.8,jw,puccsd,1,cobyla,250,137,null,null,False,-0.9618169524974317,-0.9618169527925803,FCI,-0.9618169527925803,2.951485722491043e-10,1.8520838542346318e-07,True,-1.2558042918974317,42,True,,4,15,0.2939873394,0.1304575499962084,1.5219095879874658,1.6598826620029286
H2,statevector_physical_ansatz,,,,sto-3g,1.8,jw,puccsd,1,slsqp,250,137,null,null,False,-0.9618167972352062,-0.9618169527925803,FCI,-0.9618169527925803,1.5555737409300718e-07,9.761365225972884e-05,True,-1.2558041366352062,24,True,,4,15,0.2939873394,0.1398463189980248,0.815057814004831,0.9625036409997847
H2,statevector_physical_ansatz,,,,sto-3g,2.2,jw,uccsd,1,cobyla,250,137,null,null,False,-0.9412177362774694,-0.9412240336932618,FCI,-0.9412240336932618,6.297415792388961e-06,0.003951685086466205,True,-1.1817528321501967,250,True,,4,15,0.24053509587272726,0.17037462600274011,12.09910959500121,12.277492151013575
H2,statevector_physical_ansatz,,,,sto-3g,2.2,jw,uccsd,1,slsqp,250,137,null,null,False,-0.941223866893943,-0.9412240336932618,FCI,-0.9412240336932618,1.6679931880148047e-07,0.00010466807374179821,True,-1.1817589627666703,41,True,,4,15,0.24053509587272726,0.11485020100371912,1.8105111400072929,1.933489073999226
H2,statevector_physical_ansatz,,,,sto-3g,2.2,jw,puccsd,1,cobyla,250,137,null,null,False,-0.9412240328075978,-0.9412240336932618,FCI,-0.9412240336932618,8.856639865939542e-10,5.557621225635856e-07,True,-1.181759128680325,42,True,,4,15,0.24053509587272726,0.1269254040089436,1.4360452500113752,1.5703517799993278
H2,statevector_physical_ansatz,,,,sto-3g,2.2,jw,puccsd,1,slsqp,250,137,null,null,False,-0.9412240331026567,-0.9412240336932618,FCI,-0.9412240336932618,5.906051203652396e-10,3.7061002847527114e-07,True,-1.181759128975384,26,True,,4,15,0.24053509587272726,0.16193645699240733,0.8520410009950865,1.0246134890039684
