molecule,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
H2,sto-3g,0.5,jw,real_amplitudes,1,cobyla,120,137,null,null,False,-1.0429945504433136,-2.1013489722833136,120,True,,4,15,1.05835442184,0.5510906870040344,1.387834400004067,1.9650657390011474
H2,sto-3g,0.5,jw,real_amplitudes,2,cobyla,120,137,null,null,False,-1.0417804959909727,-2.1001349178309727,120,True,,4,15,1.05835442184,0.2094285229977686,1.2277046439994592,1.4396968930013827
H2,sto-3g,0.735,jw,real_amplitudes,1,cobyla,120,137,null,null,False,-1.1169966724573204,-1.8369656669063,120,True,,4,15,0.7199689944489797,0.41647571499925107,1.1765139260023716,1.5954319419979583
H2,sto-3g,0.735,jw,real_amplitudes,2,cobyla,120,137,null,null,False,-1.1169709991701895,-1.8369399936191693,120,True,,4,15,0.7199689944489797,0.22161317199788755,1.2521056530022179,1.4766227869986324
H2,sto-3g,1.0,jw,real_amplitudes,1,cobyla,120,137,null,null,False,-1.0655520299106063,-1.5947292408306064,120,True,,4,15,0.52917721092,0.19472580000001471,1.3017885419976665,1.4985499380054534
H2,sto-3g,1.0,jw,real_amplitudes,2,cobyla,120,137,null,null,False,-1.0631952502734832,-1.592372461193483,120,True,,4,15,0.52917721092,0.33288742000149796,1.1598210970041691,1.4989848219993291
